TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
201804072300,146.0,5.0,1.1,1011.8,1019.5,0.9,0.7,99.0,6.4,08,9.0,9.0,Sc,7000.0,1.8,4.0,10.0
201804080000,146.0,25.0,2.2,1012.0,1019.7,1.7,1.4,98.0,6.8,08,9.0,9.0,Sc,1468.0,3.3,4.0,8.0
201804080100,146.0,23.0,2.8,1011.5,1019.2,1.9,0.4,90.0,6.3,08,9.0,9.0,Sc,1660.0,2.3,4.0,33.0
201804080200,146.0,25.0,0.6,1011.3,1019.0,2.2,-0.5,82.0,5.9,08,0.0,0.0,-,1985.0,2.0,4.0,27.0
201804080300,146.0,11.0,0.8,1011.3,1019.0,1.8,0.6,92.0,6.4,-,0.0,0.0,-,1494.0,1.6,3.0,27.0
201804080400,146.0,11.0,1.4,1011.4,1019.1,0.8,0.5,98.0,6.3,-,0.0,0.0,-,1000.0,1.0,3.0,25.0
201804080500,146.0,14.0,1.8,1011.2,1019.0,0.4,0.1,98.0,6.2,-,0.0,0.0,-,1076.0,0.7,3.0,18.0
201804080600,146.0,14.0,1.7,1011.7,1019.5,0.2,0.0,98.0,6.1,-,0.0,0.0,-,1037.0,0.7,3.0,20.0
201804080700,146.0,14.0,2.2,1011.7,1019.4,0.7,-0.3,93.0,6.0,-,0.0,0.0,-,1454.0,1.0,3.0,21.0
201804080800,146.0,14.0,2.6,1011.2,1018.9,2.6,0.3,85.0,6.2,-,0.0,0.0,-,1777.0,4.6,3.0,25.0
201804080900,146.0,16.0,1.9,1011.5,1019.1,5.4,0.9,73.0,6.5,-,0.0,0.0,-,2000.0,10.4,3.0,34.0
201804081000,146.0,14.0,1.9,1011.7,1019.2,7.5,1.7,67.0,6.9,-,0.0,0.0,-,2000.0,14.6,3.0,35.0
201804081100,146.0,14.0,2.6,1010.8,1018.3,9.0,-0.6,51.0,5.8,-,0.0,0.0,-,2000.0,17.6,3.0,37.0
201804081200,146.0,16.0,2.3,1009.5,1016.9,10.9,0.3,48.0,6.2,-,0.0,0.0,-,2000.0,20.0,3.0,35.0
201804081300,146.0,16.0,2.4,1008.3,1015.7,12.6,0.0,42.0,6.1,-,4.0,4.0,Sc,1899.0,20.8,3.0,41.0
201804081400,146.0,23.0,6.9,1007.2,1014.5,13.3,0.3,41.0,6.2,-,3.0,3.0,Ac,2000.0,16.4,3.0,60.0
201804081500,146.0,20.0,4.2,1005.4,1012.7,14.7,-0.6,35.0,5.8,-,3.0,3.0,Ac,2000.0,17.2,3.0,53.0
201804081600,146.0,23.0,6.4,1004.7,1012.0,14.5,-2.0,32.0,5.3,-,6.0,6.0,Ac,2000.0,13.6,3.0,50.0
201804081700,146.0,23.0,4.8,1004.8,1012.1,14.7,-0.2,36.0,6.0,-,5.0,5.0,Sc,2000.0,13.3,3.0,46.0
201804081800,146.0,23.0,5.2,1004.6,1011.9,13.5,-1.6,35.0,5.4,-,7.0,7.0,Sc,2000.0,10.5,3.0,57.0
201804082100,146.0,23.0,4.6,1006.9,1014.3,12.2,2.6,52.0,7.4,-,9.0,9.0,Sc,2000.0,8.6,3.0,31.0
201804090000,146.0,23.0,3.8,1007.8,1015.2,11.2,6.3,72.0,9.5,-,9.0,9.0,Sc,1618.0,8.8,3.0,44.0
201804090300,146.0,27.0,2.3,1008.3,1015.8,9.1,7.7,91.0,10.5,19,9.0,9.0,Sc,827.0,8.3,3.0,64.0
201804090400,146.0,25.0,1.4,1008.4,1015.9,8.5,7.4,93.0,10.3,19,9.0,9.0,Sc,648.0,7.9,3.0,63.0
201804090500,146.0,27.0,1.2,1008.9,1016.4,8.2,7.5,96.0,10.4,19,9.0,9.0,Sc,542.0,8.1,3.0,67.0
201804090600,146.0,27.0,2.1,1009.7,1017.2,7.7,7.0,96.0,10.0,19,9.0,9.0,Sc,423.0,8.2,3.0,76.0
201804090700,146.0,27.0,1.4,1010.3,1017.8,7.7,7.0,96.0,10.0,19,9.0,9.0,Sc,363.0,8.2,3.0,78.0
201804090800,146.0,23.0,2.1,1011.0,1018.5,8.3,6.5,89.0,9.7,19,6.0,6.0,Sc,450.0,9.2,3.0,82.0
201804090900,146.0,27.0,2.1,1011.9,1019.4,9.7,5.6,76.0,9.1,19,6.0,6.0,Sc,569.0,13.3,3.0,76.0
201804091000,146.0,27.0,0.7,1012.2,1019.7,10.7,4.5,66.0,8.4,4019,3.0,3.0,Sc,709.0,16.9,3.0,88.0
201804091100,146.0,34.0,1.4,1012.1,1019.5,12.1,3.0,54.0,7.6,40,2.0,0.0,Ci,1034.0,20.7,3.0,84.0
