TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
201805151400,143.0,27.0,1.8,1004.1,1010.1,30.7,8.4,25.0,11.0,-,5.0,0.0,Ci,1473.0,45.0,3.0,66.0
201805151500,143.0,27.0,1.2,1003.4,1009.4,31.7,10.3,27.0,12.5,-,3.0,0.0,Ci,1359.0,45.3,3.0,71.0
201805151600,143.0,34.0,1.0,1003.0,1009.0,31.3,8.3,24.0,10.9,-,7.0,0.0,Ci,1699.0,39.3,3.0,73.0
201805151700,143.0,32.0,1.2,1002.7,1008.7,30.7,10.0,28.0,12.3,-,7.0,0.0,Ci,1829.0,35.7,3.0,71.0
201805151800,143.0,5.0,1.5,1002.4,1008.4,29.7,11.2,32.0,13.3,-,8.0,0.0,Ci,1705.0,31.5,3.0,74.0
201805152100,143.0,9.0,1.6,1003.8,1009.9,25.8,14.2,49.0,16.2,-,8.0,0.0,Ci,1725.0,24.6,3.0,0.0
201805152300,143.0,14.0,1.3,1004.0,1010.1,23.8,15.8,61.0,17.9,01,10.0,4.0,ScAs,1949.0,23.0,4.0,0.0
201805160000,143.0,5.0,1.2,1004.1,1010.2,23.6,16.8,66.0,19.1,-,8.0,4.0,ScCi,1673.0,22.8,3.0,12.0
201805160200,143.0,7.0,0.7,1002.7,1008.8,22.8,19.3,81.0,22.4,01,10.0,4.0,ScAs,1177.0,22.3,4.0,21.0
201805160300,143.0,36.0,1.2,1002.4,1008.5,22.8,20.5,87.0,24.1,1901,10.0,4.0,ScAs,1008.0,22.2,4.0,19.0
201805160400,143.0,34.0,1.1,1002.4,1008.5,23.0,20.3,85.0,23.8,-,10.0,6.0,ScAs,1510.0,22.2,3.0,13.0
201805160500,143.0,34.0,1.9,1002.3,1008.4,22.8,20.5,87.0,24.1,01,10.0,7.0,ScAs,1141.0,21.9,4.0,17.0
201805160600,143.0,34.0,1.2,1002.4,1008.5,22.9,20.4,86.0,24.0,-,10.0,7.0,ScAs,1270.0,22.1,3.0,16.0
201805160700,143.0,36.0,0.8,1002.4,1008.5,22.8,20.7,88.0,24.4,01,10.0,8.0,ScAs,1190.0,22.6,4.0,25.0
201805160800,143.0,11.0,1.5,1002.2,1008.3,23.4,21.2,88.0,25.2,01,9.0,7.0,ScAs,1054.0,25.0,4.0,18.0
201805160900,143.0,20.0,0.9,1002.2,1008.3,24.9,20.7,78.0,24.4,-,10.0,8.0,ScAs,1913.0,26.1,3.0,11.0
201805161000,143.0,11.0,1.5,1001.9,1008.0,24.9,20.7,78.0,24.4,-,10.0,8.0,ScAs,2000.0,25.5,3.0,2.0
201805161100,143.0,23.0,2.8,1001.6,1007.7,26.4,20.2,69.0,23.7,-,10.0,8.0,ScAs,1955.0,28.9,3.0,1.0
201805161200,143.0,18.0,2.1,1001.2,1007.3,26.3,20.1,69.0,23.5,-,10.0,9.0,ScAs,2000.0,31.0,3.0,9.0
201805161300,143.0,20.0,2.2,1000.7,1006.7,26.5,20.1,68.0,23.5,-,10.0,9.0,ScAs,1910.0,29.9,3.0,10.0
201805161400,143.0,18.0,2.3,1000.6,1006.6,26.3,20.3,70.0,23.8,-,10.0,9.0,ScAs,2000.0,28.9,3.0,12.0
201805161500,143.0,23.0,1.7,1000.8,1006.9,25.7,20.7,74.0,24.4,-,10.0,9.0,ScAs,2000.0,26.9,3.0,10.0
201805161600,143.0,34.0,0.7,1000.9,1007.0,25.0,20.8,78.0,24.6,-,10.0,9.0,ScAs,2000.0,25.6,3.0,14.0
201805161700,143.0,11.0,1.2,1000.7,1006.8,25.7,21.1,76.0,25.0,-,8.0,7.0,ScAc,1864.0,27.0,3.0,9.0
201805161800,143.0,25.0,1.5,1000.4,1006.4,26.5,20.3,69.0,23.8,-,9.0,8.0,ScAc,2000.0,26.4,3.0,1.0
201805162100,143.0,5.0,0.6,1001.5,1007.5,24.7,20.8,79.0,24.6,-,8.0,5.0,ScAc,1866.0,23.8,3.0,20.0
201805170000,143.0,36.0,1.0,1001.1,1007.1,24.5,20.8,80.0,24.6,-,8.0,8.0,Sc,2000.0,23.2,3.0,22.0
201805170300,143.0,23.0,2.8,1000.1,1006.2,25.9,19.7,69.0,22.9,-,8.0,8.0,Sc,1955.0,22.7,3.0,6.0
201805170400,143.0,34.0,1.0,1000.2,1006.2,24.7,20.3,77.0,23.8,-,9.0,9.0,Sc,1865.0,22.7,3.0,12.0
