TM,STN_chifeng,IW_chifeng,IR_chifeng,IX_chifeng,VV_chifeng,WD_chifeng,WS_chifeng,TA_chifeng,TD_chifeng,HM_chifeng,PS_chifeng,PT_chifeng,PR_chifeng,RH_chifeng,ORG_chifeng,PM10_chifeng,STN_dalian,IW_dalian,IR_dalian,IX_dalian,VV_dalian,WD_dalian,WS_dalian,TA_dalian,TD_dalian,HM_dalian,PS_dalian,PT_dalian,PR_dalian,RH_dalian,ORG_dalian,PM10_dalian,STN_qingdao,IW_qingdao,IR_qingdao,IX_qingdao,VV_qingdao,WD_qingdao,WS_qingdao,TA_qingdao,TD_qingdao,HM_qingdao,PS_qingdao,PT_qingdao,PR_qingdao,RH_qingdao,ORG_qingdao,PM10_qingdao,STN_tongliao,IW_tongliao,IR_tongliao,IX_tongliao,VV_tongliao,WD_tongliao,WS_tongliao,TA_tongliao,TD_tongliao,HM_tongliao,PS_tongliao,PT_tongliao,PR_tongliao,RH_tongliao,ORG_tongliao,PM10_tongliao,STN_yanan,IW_yanan,IR_yanan,IX_yanan,VV_yanan,WD_yanan,WS_yanan,TA_yanan,TD_yanan,HM_yanan,PS_yanan,PT_yanan,PR_yanan,RH_yanan,ORG_yanan,PM10_yanan
201901010000,54218.0,1.0,3.0,2.0,80.0,250.0,3.0,14.1,-2.3,32.1,1007.9,7.0,0.4,0.0,cma,25.0,54662.0,1.0,3.0,2.0,61.0,290.0,3.0,19.6,10.3,54.9,1020.9,7.0,0.5,0.0,cma,49.0,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0,54135.0,1.0,3.0,2.0,80.0,320.0,2.0,12.6,-7.4,24.1,1023.8,7.0,1.4,0.0,cma,0.0,53845.0,1.0,3.0,1.0,56.0,40.0,1.0,-14.9,-16.9,84.7,1044.5,2.0,0.2,0.0,cma,126.0
201901010100,54218.0,1.0,3.0,2.0,80.0,250.0,3.0,14.1,-2.3,32.1,1007.9,7.0,0.4,0.0,cma,25.0,54662.0,1.0,3.0,2.0,61.0,290.0,3.0,19.6,10.3,54.9,1020.9,7.0,0.5,0.0,cma,49.0,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0,54135.0,1.0,3.0,2.0,80.0,320.0,2.0,12.6,-7.4,24.1,1023.8,7.0,1.4,0.0,cma,0.0,53845.0,1.0,3.0,1.0,56.0,40.0,1.0,-14.9,-16.9,84.7,1044.5,2.0,0.2,0.0,cma,126.0
201901010200,54218.0,1.0,3.0,2.0,80.0,250.0,3.0,14.1,-2.3,32.1,1007.9,7.0,0.4,0.0,cma,25.0,54662.0,1.0,3.0,2.0,61.0,290.0,3.0,19.6,10.3,54.9,1020.9,7.0,0.5,0.0,cma,49.0,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0,54135.0,1.0,3.0,2.0,80.0,320.0,2.0,12.6,-7.4,24.1,1023.8,7.0,1.4,0.0,cma,0.0,53845.0,1.0,3.0,1.0,56.0,40.0,1.0,-14.9,-16.9,84.7,1044.5,2.0,0.2,0.0,cma,126.0
201901010300,54218.0,1.0,3.0,2.0,80.0,250.0,3.0,14.1,-2.3,32.1,1007.9,7.0,0.4,0.0,cma,25.0,54662.0,1.0,3.0,2.0,61.0,290.0,3.0,19.6,10.3,54.9,1020.9,7.0,0.5,0.0,cma,49.0,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0,54135.0,1.0,3.0,2.0,80.0,320.0,2.0,12.6,-7.4,24.1,1023.8,7.0,1.4,0.0,cma,0.0,53845.0,1.0,3.0,2.0,59.0,40.0,1.0,-8.8,-17.1,51.0,1043.5,7.0,0.2,0.0,cma,66.0
201901010400,54218.0,1.0,3.0,2.0,80.0,250.0,3.0,14.1,-2.3,32.1,1007.9,7.0,0.4,0.0,cma,25.0,54662.0,1.0,3.0,2.0,61.0,290.0,3.0,19.6,10.3,54.9,1020.9,7.0,0.5,0.0,cma,49.0,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0,54135.0,1.0,3.0,2.0,80.0,320.0,2.0,12.6,-7.4,24.1,1023.8,7.0,1.4,0.0,cma,0.0,53845.0,1.0,3.0,2.0,59.0,40.0,1.0,-8.8,-17.1,51.0,1043.5,7.0,0.2,0.0,cma,66.0
201901010500,54218.0,1.0,3.0,2.0,80.0,250.0,3.0,14.1,-2.3,32.1,1007.9,7.0,0.4,0.0,cma,25.0,54662.0,1.0,3.0,2.0,61.0,290.0,3.0,19.6,10.3,54.9,1020.9,7.0,0.5,0.0,cma,49.0,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0,54135.0,1.0,3.0,2.0,80.0,320.0,2.0,12.6,-7.4,24.1,1023.8,7.0,1.4,0.0,cma,0.0,53845.0,1.0,3.0,2.0,59.0,40.0,1.0,-8.8,-17.1,51.0,1043.5,7.0,0.2,0.0,cma,66.0
201901010600,54218.0,1.0,3.0,2.0,80.0,250.0,3.0,14.1,-2.3,32.1,1007.9,7.0,0.4,0.0,cma,25.0,54662.0,1.0,3.0,2.0,61.0,290.0,3.0,19.6,10.3,54.9,1020.9,7.0,0.5,0.0,cma,49.0,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0,54135.0,1.0,3.0,2.0,80.0,320.0,2.0,12.6,-7.4,24.1,1023.8,7.0,1.4,0.0,cma,0.0,53845.0,1.0,3.0,2.0,63.0,20.0,2.0,-2.8,-16.1,35.1,1039.3,7.0,2.9,0.0,cma,61.0
201901010700,54218.0,1.0,3.0,2.0,80.0,250.0,3.0,14.1,-2.3,32.1,1007.9,7.0,0.4,0.0,cma,25.0,54662.0,1.0,3.0,2.0,61.0,290.0,3.0,19.6,10.3,54.9,1020.9,7.0,0.5,0.0,cma,49.0,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0,54135.0,1.0,3.0,2.0,80.0,320.0,2.0,12.6,-7.4,24.1,1023.8,7.0,1.4,0.0,cma,0.0,53845.0,1.0,3.0,2.0,63.0,20.0,2.0,-2.8,-16.1,35.1,1039.3,7.0,2.9,0.0,cma,61.0
201901010800,54218.0,1.0,3.0,2.0,80.0,250.0,3.0,14.1,-2.3,32.1,1007.9,7.0,0.4,0.0,cma,25.0,54662.0,1.0,3.0,2.0,61.0,290.0,3.0,19.6,10.3,54.9,1020.9,7.0,0.5,0.0,cma,49.0,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0,54135.0,1.0,3.0,2.0,80.0,320.0,2.0,12.6,-7.4,24.1,1023.8,7.0,1.4,0.0,cma,0.0,53845.0,1.0,3.0,2.0,63.0,20.0,2.0,-2.8,-16.1,35.1,1039.3,7.0,2.9,0.0,cma,61.0
201901010900,54218.0,1.0,3.0,2.0,80.0,250.0,3.0,14.1,-2.3,32.1,1007.9,7.0,0.4,0.0,cma,25.0,54662.0,1.0,3.0,2.0,61.0,290.0,3.0,19.6,10.3,54.9,1020.9,7.0,0.5,0.0,cma,49.0,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0,54135.0,1.0,3.0,2.0,80.0,320.0,2.0,12.6,-7.4,24.1,1023.8,7.0,1.4,0.0,cma,0.0,53845.0,1.0,3.0,2.0,68.0,20.0,3.0,-2.3,-16.8,31.9,1039.0,7.0,0.5,0.0,cma,60.0
