TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10
201801021900,53845.0,1.0,3.0,2.0,74.0,20.0,3.0,-3.2,-15.8,37.1,1035.1,2.0,0.5,0.0,cma,40.0
201801022000,53845.0,1.0,3.0,2.0,74.0,20.0,3.0,-3.2,-15.8,37.1,1035.1,2.0,0.5,0.0,cma,40.0
201801022100,53845.0,1.0,3.0,2.0,72.0,20.0,4.0,-4.1,-16.3,38.0,1035.4,7.0,0.3,0.0,cma,42.0
201801022200,53845.0,1.0,3.0,2.0,72.0,20.0,4.0,-4.1,-16.3,38.0,1035.4,7.0,0.3,0.0,cma,42.0
201801022300,53845.0,1.0,3.0,2.0,72.0,20.0,4.0,-4.1,-16.3,38.0,1035.4,7.0,0.3,0.0,cma,42.0
201801030000,53845.0,1.0,3.0,2.0,73.0,20.0,4.0,-5.3,-14.6,48.0,1037.3,2.0,0.7,0.0,cma,39.0
201801030100,53845.0,1.0,3.0,2.0,73.0,20.0,4.0,-5.3,-14.6,48.0,1037.3,2.0,0.7,0.0,cma,39.0
201801030200,53845.0,1.0,3.0,2.0,73.0,20.0,4.0,-5.3,-14.6,48.0,1037.3,2.0,0.7,0.0,cma,39.0
201801030300,53845.0,1.0,4.0,1.0,34.0,40.0,2.0,-5.9,-9.4,76.3,1039.0,2.0,1.1,0.0,cma,19.0
201801030400,53845.0,1.0,4.0,1.0,34.0,40.0,2.0,-5.9,-9.4,76.3,1039.0,2.0,1.1,0.0,cma,19.0
201801030500,53845.0,1.0,4.0,1.0,34.0,40.0,2.0,-5.9,-9.4,76.3,1039.0,2.0,1.1,0.0,cma,19.0
201801030600,53845.0,1.0,1.0,1.0,56.0,20.0,3.0,-4.8,-8.2,77.0,1035.0,7.0,3.3,1.0,cma,38.0
201801030700,53845.0,1.0,1.0,1.0,56.0,20.0,3.0,-4.8,-8.2,77.0,1035.0,7.0,3.3,1.0,cma,38.0
201801030800,53845.0,1.0,1.0,1.0,56.0,20.0,3.0,-4.8,-8.2,77.0,1035.0,7.0,3.3,1.0,cma,38.0
201801030900,53845.0,1.0,4.0,1.0,23.0,40.0,4.0,-5.2,-7.2,85.8,1034.2,7.0,1.0,0.0,cma,50.0
201801031000,53845.0,1.0,4.0,1.0,23.0,40.0,4.0,-5.2,-7.2,85.8,1034.2,7.0,1.0,0.0,cma,50.0
201801031100,53845.0,1.0,4.0,1.0,23.0,40.0,4.0,-5.2,-7.2,85.8,1034.2,7.0,1.0,0.0,cma,50.0
201801031200,53845.0,1.0,1.0,1.0,14.0,70.0,3.0,-5.7,-6.8,91.9,1035.5,2.0,0.7,1.0,cma,106.0
201801031300,53845.0,1.0,1.0,1.0,14.0,70.0,3.0,-5.7,-6.8,91.9,1035.5,2.0,0.7,1.0,cma,106.0
201801031400,53845.0,1.0,1.0,1.0,14.0,70.0,3.0,-5.7,-6.8,91.9,1035.5,2.0,0.7,1.0,cma,106.0
201801031500,53845.0,1.0,4.0,1.0,10.0,70.0,3.0,-5.8,-6.9,91.9,1035.1,7.0,0.5,0.0,cma,67.0
201801031600,53845.0,1.0,4.0,1.0,10.0,70.0,3.0,-5.8,-6.9,91.9,1035.1,7.0,0.5,0.0,cma,67.0
201801031700,53845.0,1.0,4.0,1.0,10.0,70.0,3.0,-5.8,-6.9,91.9,1035.1,7.0,0.5,0.0,cma,67.0
201801031800,53845.0,1.0,1.0,1.0,9.0,70.0,2.0,-6.1,-7.2,91.9,1034.0,7.0,0.8,1.0,cma,75.0
201801031900,53845.0,1.0,1.0,1.0,9.0,70.0,2.0,-6.1,-7.2,91.9,1034.0,7.0,0.8,1.0,cma,75.0
201801032000,53845.0,1.0,1.0,1.0,9.0,70.0,2.0,-6.1,-7.2,91.9,1034.0,7.0,0.8,1.0,cma,75.0
201801032100,53845.0,1.0,4.0,1.0,11.0,40.0,2.0,-6.5,-7.4,93.3,1032.5,7.0,1.5,0.0,cma,65.0
201801032200,53845.0,1.0,4.0,1.0,11.0,40.0,2.0,-6.5,-7.4,93.3,1032.5,7.0,1.5,0.0,cma,65.0
201801032300,53845.0,1.0,4.0,1.0,11.0,40.0,2.0,-6.5,-7.4,93.3,1032.5,7.0,1.5,0.0,cma,65.0
201801040000,53845.0,1.0,1.0,1.0,16.0,40.0,3.0,-6.8,-7.7,93.3,1031.8,7.0,0.8,1.0,cma,66.0
201801040100,53845.0,1.0,1.0,1.0,16.0,40.0,3.0,-6.8,-7.7,93.3,1031.8,7.0,0.8,1.0,cma,66.0
201801040200,53845.0,1.0,1.0,1.0,16.0,40.0,3.0,-6.8,-7.7,93.3,1031.8,7.0,0.8,1.0,cma,66.0
201801040300,53845.0,1.0,4.0,1.0,33.0,70.0,2.0,-5.3,-8.0,81.3,1031.4,4.0,0.0,0.0,cma,55.0
201801040400,53845.0,1.0,4.0,1.0,33.0,70.0,2.0,-5.3,-8.0,81.3,1031.4,4.0,0.0,0.0,cma,55.0
201801040500,53845.0,1.0,4.0,1.0,33.0,70.0,2.0,-5.3,-8.0,81.3,1031.4,4.0,0.0,0.0,cma,55.0
201801040600,53845.0,1.0,1.0,1.0,25.0,70.0,2.0,-4.0,-7.6,76.0,1028.3,7.0,2.4,1.0,cma,50.0
201801040700,53845.0,1.0,1.0,1.0,25.0,70.0,2.0,-4.0,-7.6,76.0,1028.3,7.0,2.4,1.0,cma,50.0
201801040800,53845.0,1.0,1.0,1.0,25.0,70.0,2.0,-4.0,-7.6,76.0,1028.3,7.0,2.4,1.0,cma,50.0
201801040900,53845.0,1.0,4.0,1.0,35.0,70.0,4.0,-5.0,-7.3,83.9,1028.1,7.0,0.5,0.0,cma,72.0
201801041000,53845.0,1.0,4.0,1.0,35.0,70.0,4.0,-5.0,-7.3,83.9,1028.1,7.0,0.5,0.0,cma,72.0
201801041100,53845.0,1.0,4.0,1.0,35.0,70.0,4.0,-5.0,-7.3,83.9,1028.1,7.0,0.5,0.0,cma,72.0
201801041200,53845.0,1.0,1.0,1.0,56.0,90.0,2.0,-5.7,-8.1,83.1,1029.3,2.0,0.8,1.0,cma,36.0
201801041300,53845.0,1.0,1.0,1.0,56.0,90.0,2.0,-5.7,-8.1,83.1,1029.3,2.0,0.8,1.0,cma,36.0
201801041400,53845.0,1.0,1.0,1.0,56.0,90.0,2.0,-5.7,-8.1,83.1,1029.3,2.0,0.8,1.0,cma,36.0
201801041500,53845.0,1.0,4.0,1.0,33.0,200.0,5.0,-6.3,-8.1,87.0,1030.4,2.0,1.1,0.0,cma,41.0
201801041600,53845.0,1.0,4.0,1.0,33.0,200.0,5.0,-6.3,-8.1,87.0,1030.4,2.0,1.1,0.0,cma,41.0
