TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
202204080600,136.0,14.0,0.5,1005.4,1023.0,3.5,-2.2,66.0,5.2,-,0.0,0.0,-,1846.0,1.8,-99.0,-99.0,-99.0,-99.0,3.0,29.0
202204080700,136.0,0.0,0.1,1006.0,1023.6,3.1,-2.0,69.0,5.3,-,0.0,0.0,-,1784.0,3.4,-99.0,-99.0,-99.0,-99.0,3.0,47.0
202204080800,136.0,16.0,0.7,1006.2,1023.6,6.3,-0.9,60.0,5.7,-,0.0,0.0,-,1702.0,10.6,-99.0,-99.0,-99.0,-99.0,3.0,56.0
202204080900,136.0,9.0,0.8,1006.3,1023.5,9.5,-2.1,44.0,5.2,-,0.0,0.0,-,1963.0,19.5,-99.0,-99.0,-99.0,-99.0,3.0,45.0
202204081000,136.0,29.0,1.7,1006.1,1023.1,11.8,-5.2,30.0,4.2,-,0.0,0.0,-,1864.0,28.0,-99.0,-99.0,-99.0,-99.0,3.0,39.0
202204081100,136.0,25.0,1.3,1005.6,1022.4,14.5,-2.8,30.0,5.0,-,0.0,0.0,-,1947.0,35.0,-99.0,-99.0,-99.0,-99.0,3.0,34.0
202204081200,136.0,32.0,3.2,1004.5,1021.2,16.5,-3.0,26.0,4.9,-,0.0,0.0,-,1956.0,39.4,-99.0,-99.0,-99.0,-99.0,3.0,30.0
202204081300,136.0,29.0,2.1,1003.2,1019.7,18.3,-3.8,22.0,4.6,-,0.0,0.0,-,1972.0,41.7,-99.0,-99.0,-99.0,-99.0,3.0,19.0
202204081400,136.0,25.0,3.3,1002.1,1018.4,19.6,-2.7,22.0,5.0,-,0.0,0.0,-,2000.0,41.0,-99.0,-99.0,-99.0,-99.0,3.0,18.0
202204081500,136.0,27.0,2.9,1001.1,1017.5,20.8,-3.0,20.0,4.9,-,0.0,0.0,-,1974.0,38.8,-99.0,-99.0,-99.0,-99.0,3.0,19.0
202204081600,136.0,27.0,4.1,999.8,1016.0,22.3,-1.7,20.0,5.4,-,0.0,0.0,-,1862.0,32.7,-99.0,-99.0,-99.0,-99.0,3.0,24.0
