TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
201805111000,143,2,1.8,-9,-9.0,-9,1013.2,1019.5,-9,-9.0,20.0,6.6,42.0,9.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,6,0,-9,Ci,1,0,0,1163,1.0,2.58,-9,32.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805111100,143,27,3.0,-9,-9.0,-9,1012.4,1018.6,-9,-9.0,21.2,4.6,34.0,8.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,0,-9,Ci,2,0,0,1947,1.0,2.66,-9,34.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805111200,143,27,2.7,-9,-9.0,-9,1011.6,1017.8,7,-2.3,23.3,4.7,30.0,8.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,0,-9,Ci,1,0,0,1889,1.0,2.98,-9,39.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805111300,143,29,2.4,-9,-9.0,-9,1010.7,1016.8,-9,-9.0,24.5,4.2,27.0,8.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,0,-9,Ci,1,0,0,1890,0.9,2.97,-9,42.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805111400,143,27,2.4,-9,-9.0,-9,1009.6,1015.7,-9,-9.0,24.6,3.8,26.0,8.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,0,-9,Ci,1,0,0,1880,1.0,3.36,-9,43.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805111500,143,27,3.2,-9,-9.0,-9,1008.7,1014.8,7,-3.0,26.2,4.0,24.0,8.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,0,-9,Ci,1,0,0,1955,1.0,2.96,-9,42.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805111600,143,27,3.1,-9,-9.0,-9,1008.1,1014.2,-9,-9.0,26.5,4.2,24.0,8.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,0,-9,Ci,1,0,0,1955,1.0,2.46,-9,40.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805111700,143,23,1.8,-9,-9.0,-9,1007.6,1013.7,-9,-9.0,25.5,4.0,25.0,8.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,0,-9,Ci,1,0,0,1955,1.0,1.57,-9,33.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805111800,143,27,2.2,-9,-9.0,-9,1007.5,1013.6,7,-1.2,25.1,4.2,26.0,8.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,2,45,AcCi,2,3,0,2000,0.4,0.76,-9,28.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805111900,143,27,3.5,-9,-9.0,-9,1008.1,1014.2,-9,-9.0,24.2,5.0,29.0,8.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,6,59,-,-9,-9,-9,2000,0.0,0.23,-9,24.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
