TM,STN_ID,PM10
202201010000,146.0,11.0
202201020000,146.0,49.0
202201030000,146.0,39.0
202201040000,146.0,19.0
202201050000,146.0,26.0
202201060000,146.0,75.0
202201070000,146.0,61.0
202201080000,146.0,62.0
202201090000,146.0,40.0
202201100000,146.0,94.0
202201110000,146.0,54.0
202201120000,146.0,24.0
202201130000,146.0,13.0
202201140000,146.0,20.0
202201150000,146.0,36.0
202201160000,146.0,38.0
202201170000,146.0,37.0
202201180000,146.0,21.0
202201190000,146.0,51.0
202201200000,146.0,43.0
202201210000,146.0,59.0
202201220000,146.0,49.0
202201230000,146.0,71.0
202201240000,146.0,91.0
202201250000,146.0,16.0
202201260000,146.0,54.0
202201270000,146.0,70.0
202201280000,146.0,64.0
202201290000,146.0,32.0
202201300000,146.0,23.0
202201310000,146.0,36.0
202202010000,146.0,34.0
202202010000,146.0,34.0
202202020000,146.0,58.0
202202030000,146.0,18.0
202202040000,146.0,16.0
202202050000,146.0,21.0
202202060000,146.0,11.0
202202070000,146.0,19.0
202202080000,146.0,26.0
202202090000,146.0,42.0
202202100000,146.0,63.0
202202110000,146.0,67.0
202202120000,146.0,114.0
202202130000,146.0,114.0
202202140000,146.0,93.0
202202150000,146.0,42.0
202202160000,146.0,19.0
202202170000,146.0,16.0
202202180000,146.0,33.0
202202190000,146.0,43.0
202202200000,146.0,17.0
202202210000,146.0,23.0
202202220000,146.0,24.0
202202230000,146.0,29.0
202202240000,146.0,14.0
202202250000,146.0,41.0
202202260000,146.0,98.0
202202270000,146.0,77.0
202202280000,146.0,23.0
202203010000,146.0,45.0
202203010000,146.0,45.0
202203020000,146.0,20.0
202203030000,146.0,35.0
202203040000,146.0,90.0
202203050000,146.0,61.0
202203060000,146.0,13.0
202203070000,146.0,27.0
202203080000,146.0,36.0
202203090000,146.0,60.0
202203100000,146.0,93.0
202203110000,146.0,77.0
202203120000,146.0,59.0
202203130000,146.0,28.0
202203140000,146.0,34.0
202203150000,146.0,55.0
202203160000,146.0,66.0
202203170000,146.0,76.0
202203180000,146.0,17.0
202203190000,146.0,2.0
202203200000,146.0,44.0
202203210000,146.0,47.0
202203220000,146.0,58.0
202203230000,146.0,60.0
202203240000,146.0,47.0
202203250000,146.0,85.0
202203260000,146.0,2.0
202203270000,146.0,34.0
202203280000,146.0,20.0
202203290000,146.0,38.0
202203300000,146.0,46.0
202203310000,146.0,38.0
202204010000,146.0,36.0
202204010000,146.0,36.0
202204020000,146.0,46.0
202204030000,146.0,35.0
202204040000,146.0,49.0
202204050000,146.0,65.0
202204060000,146.0,57.0
202204070000,146.0,59.0
202204080000,146.0,38.0
202204090000,146.0,42.0
202204100000,146.0,34.0
202204110000,146.0,22.0
202204120000,146.0,29.0
202204130000,146.0,12.0
202204140000,146.0,7.0
202204150000,146.0,15.0
202204160000,146.0,42.0
202204170000,146.0,40.0
202204180000,146.0,53.0
202204190000,146.0,42.0
202204200000,146.0,59.0
202204210000,146.0,57.0
202204220000,146.0,26.0
202204230000,146.0,28.0
202204240000,146.0,42.0
202204250000,146.0,32.0
202204260000,146.0,37.0
202204270000,146.0,37.0
202204280000,146.0,82.0
202204290000,146.0,50.0
202204300000,146.0,8.0
202205010000,146.0,28.0
202205010000,146.0,28.0
202205020000,146.0,22.0
202205030000,146.0,41.0
202205040000,146.0,28.0
202205050000,146.0,33.0
202205060000,146.0,30.0
202205070000,146.0,33.0
202205080000,146.0,27.0
202205090000,146.0,14.0
202205100000,146.0,26.0
202205110000,146.0,23.0
202205120000,146.0,28.0
202205130000,146.0,27.0
202205140000,146.0,28.0
202205150000,146.0,17.0
202205160000,146.0,30.0
202205170000,146.0,30.0
202205180000,146.0,43.0
202205190000,146.0,32.0
202205200000,146.0,47.0
202205210000,146.0,39.0
202205220000,146.0,24.0
202205230000,146.0,38.0
202205240000,146.0,31.0
202205250000,146.0,26.0
202205260000,146.0,20.0
202205270000,146.0,14.0
202205280000,146.0,17.0
202205290000,146.0,27.0
202205300000,146.0,27.0
202205310000,146.0,11.0
202206010000,146.0,17.0
202206010000,146.0,17.0
202206020000,146.0,17.0
202206030000,146.0,8.0
202206040000,146.0,22.0
202206050000,146.0,14.0
202206060000,146.0,11.0
202206070000,146.0,27.0
202206080000,146.0,8.0
202206090000,146.0,15.0
202206100000,146.0,34.0
202206110000,146.0,37.0
202206120000,146.0,31.0
202206130000,146.0,25.0
202206140000,146.0,15.0
202206150000,146.0,3.0
202206160000,146.0,39.0
202206170000,146.0,15.0
202206180000,146.0,11.0
202206190000,146.0,11.0
202206200000,146.0,0.0
202206210000,146.0,30.0
202206220000,146.0,11.0
202206230000,146.0,18.0
202206240000,146.0,14.0
202206250000,146.0,42.0
202206260000,146.0,1.0
202206270000,146.0,1.0
202206280000,146.0,0.0
202206290000,146.0,12.0
202206300000,146.0,17.0
202207010000,146.0,7.0
202207010000,146.0,7.0
202207020000,146.0,128.0
202207030000,146.0,28.0
202207040000,146.0,29.0
202207050000,146.0,26.0
202207060000,146.0,32.0
202207070000,146.0,2.0
202207080000,146.0,19.0
202207090000,146.0,33.0
202207100000,146.0,48.0
202207110000,146.0,56.0
202207120000,146.0,26.0
202207130000,146.0,1.0
202207140000,146.0,20.0
202207150000,146.0,13.0
202207160000,146.0,158.0
202207170000,146.0,72.0
202207180000,146.0,54.0
202207190000,146.0,9.0
202207200000,146.0,26.0
202207210000,146.0,42.0
202207220000,146.0,34.0
202207230000,146.0,21.0
202207240000,146.0,37.0
202207250000,146.0,15.0
202207260000,146.0,34.0
202207270000,146.0,78.0
202207280000,146.0,32.0
202207290000,146.0,37.0
202207300000,146.0,22.0
202207310000,146.0,0.0
202208010000,146.0,6.0
202208010000,146.0,6.0
202208020000,146.0,7.0
202208030000,146.0,19.0
202208040000,146.0,3.0
202208050000,146.0,9.0
202208060000,146.0,23.0
202208070000,146.0,33.0
202208080000,146.0,15.0
