YYMMDDHHMI,STN,IW,IR,IX,CH,VV,CA,WD,WS,TA,TD,HM,PA,PS,PT,PR,RN,RH,WC,WP,CD,CL,CM,CT,S19,TM,Tm,S33,S34,S35,S36,S37,S28,S29
201712220000 54662  1  3  1  9 57  0 220  5.0   6.1   0.0  64.9 1010.0 1021.5  7    0.2  -99.0  0  5 -9 -9 -9 -9 -9 -999 -99.0 -99.0 1003 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712220300 54662  1  3  2  9 57  0 270  4.0   7.9  -2.4  48.1  -99.0 1021.4  4    0.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712220600 54662  1  3  1  9 57  0 320  5.0   7.2  -5.2  40.9 1008.9 1020.4  7    1.1  -99.0  0  5 00 -9 -9 -9 -9 -999 -99.0   5.7 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712220900 54662  1  3  2  9 68  0 360  4.0   3.7 -10.0  36.0  -99.0 1022.5  2    2.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712221200 54662  1  3  2  9 59  0 360  4.0   2.2  -9.4  41.9 1012.8 1024.4  2    1.9  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712221500 54662  1  3  2 -9 60  9 360  3.0   1.3  -9.9  43.0  -99.0 1025.4  2    1.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712221800 54662  1  3  2 -9 68  9 360  2.0   0.9 -12.1  37.1 1013.8 1025.4  4    0.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999   9.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712222100 54662  1  3  2 -9 66  9   0  0.0  -0.6 -11.6  43.1  -99.0 1024.8  7    0.7  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712230000 54662  1  3  2  9 70  7   0  0.0  -0.1 -12.7  38.0 1012.6 1024.3  7    0.5  -99.0  0 -9 -9  7 -9 -9 -9 -999 -99.0 -99.0 1048 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712230300 54662  1  3  2  9 80  6 200  1.0   5.0 -11.1  30.1  -99.0 1023.6  7    0.6  -99.0  0 -9 -9  6 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
