YYMMDDHHMI,STN,IW,IR,IX,CH,VV,CA,WD,WS,TA,TD,HM,PA,PS,PT,PR,RN,RH,WC,WP,CD,CL,CM,CT,S19,TM,Tm,S33,S34,S35,S36,S37,S28,S29
201712220000 53845  1  3  2  7 62  7  20  1.0  -8.3 -12.1  74.0  887.8 1029.2  2    0.6  -99.0  0 -9 -9  7 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712220300 53845  1  3  2  9 59  7 220  1.0  -3.2 -11.4  53.1  -99.0 1030.0  2    0.5  -99.0  0 -9 -9  7 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712220600 53845  1  3  2  9 69  6  40  1.0   6.0 -12.5  25.1  886.1 1025.7  7    2.2  -99.0  0 -9 -9  6 -9 -9 -9 -999 -99.0  -8.5 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712220900 53845  1  3  2  9 69  7  20  1.0   5.7 -13.3  24.0  -99.0 1026.1  4    0.0  -99.0  0 -9 -9  7 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712221200 53845  1  3  2  9 59  0 360  2.0   1.4 -11.7  37.0  887.6 1029.3  2    1.5  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712221500 53845  1  3  2 -9 59  9 250  1.0  -1.9 -12.0  45.9  -99.0 1030.0  2    1.1  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712221800 53845  1  3  2 -9 66  9 340  2.0  -3.1 -12.1  49.8  888.9 1028.1  2    0.2  -99.0  0 -9 -9 -9 -9 -9 -9 -999   6.8 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712222100 53845  1  3  2 -9 72  9 290  1.0  -3.4 -13.1  47.0  -99.0 1028.5  2    0.2  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712230000 53845  1  3  2  7 69  7 320  1.0  -4.2 -12.4  52.8  889.5 1030.3  2    0.4  -99.0  0 -9 -9  7 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712230300 53845  1  3  2  9 74  7 360  4.0  -0.7 -12.9  39.1  -99.0 1031.8  2    1.3  -99.0  0 -9 -9  7 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712230600 53845  1  3  2  7 80  7 340  2.0   2.7 -13.6  28.9  888.1 1028.0  7    2.7  -99.0  0 -9 -9  7 -9 -9 -9 -999 -99.0  -5.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712230900 53845  1  3  2  7 75  7 320  3.0   1.9 -11.3  36.9  -99.0 1030.1  2    1.5  -99.0  0 -9 -9  7 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712231200 53845  1  3  2  7 74  2 250  4.0   0.1  -9.9  46.9  890.8 1032.2  2    1.2  -99.0  0 -9 -9  2 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712231500 53845  1  3  2 -9 71  9 340  5.0  -1.3 -14.1  37.1  -99.0 1034.0  2    2.1  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
