TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
202103290200,156.0,23.0,1.5,1000.4,1008.8,11.4,11.0,98.0,13.1,19,10.0,9.0,-,204.0,11.9,3.0,56.0
202103290300,156.0,25.0,2.2,1000.0,1008.4,11.5,11.1,98.0,13.2,19,8.0,8.0,Sc,253.0,11.4,3.0,53.0
202103290400,156.0,25.0,2.2,1000.0,1008.4,11.1,10.4,96.0,12.6,19,7.0,7.0,Sc,310.0,10.1,3.0,113.0
202103290500,156.0,25.0,2.1,1000.1,1008.5,10.6,9.5,93.0,11.9,4219,7.0,7.0,Sc,319.0,9.2,3.0,347.0
202103290600,156.0,25.0,0.9,1000.5,1009.0,9.9,8.8,93.0,11.3,42,4.0,4.0,Sc,305.0,8.6,3.0,423.0
202103290700,156.0,29.0,1.0,1001.2,1009.7,10.2,6.1,76.0,9.4,42,0.0,0.0,-,284.0,8.7,3.0,517.0
202103290800,156.0,25.0,0.9,1001.5,1010.0,10.5,4.8,68.0,8.6,42,0.0,0.0,-,273.0,10.7,3.0,755.0
202103290900,156.0,29.0,1.0,1002.0,1010.4,11.0,4.6,65.0,8.5,42,0.0,0.0,-,250.0,14.0,3.0,815.0
202103291000,156.0,32.0,0.8,1002.0,1010.4,12.7,5.3,61.0,8.9,42,0.0,0.0,-,244.0,18.5,3.0,811.0
202103291100,156.0,20.0,0.8,1001.8,1010.1,14.1,5.1,55.0,8.8,42,0.0,0.0,-,220.0,22.4,3.0,999.0
202103291200,156.0,29.0,1.6,1001.7,1010.0,15.9,0.4,35.0,6.3,42,0.0,0.0,-,333.0,24.9,3.0,896.0
202103291300,156.0,29.0,2.3,1001.4,1009.6,17.8,0.0,30.0,6.1,42,0.0,0.0,-,439.0,26.6,3.0,662.0
202103291400,156.0,34.0,1.6,1000.7,1008.9,18.0,-2.9,24.0,4.9,42,3.0,3.0,Sc,572.0,26.6,3.0,494.0
202103291500,156.0,29.0,2.0,1000.6,1008.8,17.6,-1.1,28.0,5.6,42,8.0,8.0,Sc,601.0,23.4,3.0,529.0
202103291600,156.0,27.0,1.1,999.7,1007.9,17.9,-1.9,26.0,5.3,42,3.0,3.0,Sc,623.0,22.6,3.0,433.0
