TM,STN_ID,PM10
202101010000,146.0,52.0
202101010100,146.0,44.0
202101010200,146.0,50.0
202101010300,146.0,43.0
202101010400,146.0,43.0
202101010500,146.0,33.0
202101010600,146.0,25.0
202101010700,146.0,32.0
202101010800,146.0,22.0
202101010900,146.0,36.0
202101011000,146.0,0.0
202101011100,146.0,6.0
202101011200,146.0,2.0
202101011300,146.0,1.0
202101011400,146.0,16.0
202101011500,146.0,8.0
202101011600,146.0,14.0
202101011700,146.0,18.0
202101011800,146.0,29.0
202101011900,146.0,32.0
202101012000,146.0,28.0
202101012100,146.0,26.0
202101012200,146.0,40.0
202101012300,146.0,35.0
202101020000,146.0,43.0
202101020100,146.0,32.0
202101020200,146.0,39.0
202101020300,146.0,53.0
202101020400,146.0,46.0
202101020500,146.0,33.0
202101020600,146.0,26.0
202101020700,146.0,52.0
202101020800,146.0,54.0
202101020900,146.0,53.0
202101021000,146.0,40.0
202101021100,146.0,29.0
202101021200,146.0,23.0
202101021300,146.0,30.0
202101021400,146.0,26.0
202101021500,146.0,24.0
202101021600,146.0,26.0
202101021700,146.0,37.0
202101021800,146.0,42.0
202101021900,146.0,54.0
202101022000,146.0,49.0
202101022100,146.0,44.0
202101022200,146.0,43.0
202101022300,146.0,42.0
202101030000,146.0,34.0
202101030100,146.0,39.0
202101030200,146.0,49.0
202101030300,146.0,34.0
202101030400,146.0,41.0
202101030500,146.0,31.0
202101030600,146.0,35.0
202101030700,146.0,26.0
202101030800,146.0,33.0
202101030900,146.0,30.0
202101031000,146.0,21.0
202101031100,146.0,20.0
202101031200,146.0,22.0
202101031300,146.0,19.0
202101031400,146.0,24.0
202101031500,146.0,37.0
202101031600,146.0,41.0
202101031700,146.0,44.0
202101031800,146.0,37.0
202101031900,146.0,47.0
202101032000,146.0,53.0
202101032100,146.0,62.0
202101032200,146.0,66.0
202101032300,146.0,65.0
202101040000,146.0,63.0
202101040100,146.0,53.0
202101040200,146.0,52.0
202101040300,146.0,46.0
202101040400,146.0,51.0
202101040500,146.0,48.0
202101040600,146.0,53.0
202101040700,146.0,35.0
202101040800,146.0,38.0
202101040900,146.0,34.0
202101041000,146.0,38.0
202101041100,146.0,32.0
202101041200,146.0,19.0
202101041300,146.0,20.0
202101041400,146.0,48.0
202101041500,146.0,49.0
202101041600,146.0,50.0
202101041700,146.0,48.0
202101041800,146.0,59.0
202101041900,146.0,64.0
