TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10
201801021900,54218.0,1.0,3.0,2.0,80.0,290.0,3.0,-14.6,-24.7,42.0,1042.0,2.0,0.4,0.0,cma,31.0
201801022000,54218.0,1.0,3.0,2.0,80.0,290.0,3.0,-14.6,-24.7,42.0,1042.0,2.0,0.4,0.0,cma,31.0
201801022100,54218.0,1.0,3.0,2.0,80.0,110.0,1.0,-15.3,-25.3,42.1,1042.3,7.0,0.3,0.0,cma,18.0
201801022200,54218.0,1.0,3.0,2.0,80.0,110.0,1.0,-15.3,-25.3,42.1,1042.3,7.0,0.3,0.0,cma,18.0
201801022300,54218.0,1.0,3.0,2.0,80.0,110.0,1.0,-15.3,-25.3,42.1,1042.3,7.0,0.3,0.0,cma,18.0
201801030000,54218.0,1.0,3.0,2.0,80.0,220.0,2.0,-15.6,-24.8,45.2,1043.9,2.0,0.9,0.0,cma,12.0
201801030100,54218.0,1.0,3.0,2.0,80.0,220.0,2.0,-15.6,-24.8,45.2,1043.9,2.0,0.9,0.0,cma,12.0
201801030200,54218.0,1.0,3.0,2.0,80.0,220.0,2.0,-15.6,-24.8,45.2,1043.9,2.0,0.9,0.0,cma,12.0
201801030300,54218.0,1.0,3.0,2.0,80.0,290.0,3.0,-8.2,-21.0,34.9,1042.4,7.0,0.3,0.0,cma,10.0
201801030400,54218.0,1.0,3.0,2.0,80.0,290.0,3.0,-8.2,-21.0,34.9,1042.4,7.0,0.3,0.0,cma,10.0
201801030500,54218.0,1.0,3.0,2.0,80.0,290.0,3.0,-8.2,-21.0,34.9,1042.4,7.0,0.3,0.0,cma,10.0
201801030600,54218.0,1.0,3.0,2.0,80.0,340.0,6.0,-5.0,-20.7,28.0,1040.3,7.0,1.8,0.0,cma,22.0
201801030700,54218.0,1.0,3.0,2.0,80.0,340.0,6.0,-5.0,-20.7,28.0,1040.3,7.0,1.8,0.0,cma,22.0
201801030800,54218.0,1.0,3.0,2.0,80.0,340.0,6.0,-5.0,-20.7,28.0,1040.3,7.0,1.8,0.0,cma,22.0
201801030900,54218.0,1.0,3.0,2.0,80.0,340.0,7.0,-8.4,-21.5,33.9,1041.2,2.0,0.2,0.0,cma,24.0
201801031000,54218.0,1.0,3.0,2.0,80.0,340.0,7.0,-8.4,-21.5,33.9,1041.2,2.0,0.2,0.0,cma,24.0
201801031100,54218.0,1.0,3.0,2.0,80.0,340.0,7.0,-8.4,-21.5,33.9,1041.2,2.0,0.2,0.0,cma,24.0
201801031200,54218.0,1.0,3.0,2.0,80.0,320.0,3.0,-11.1,-21.8,40.9,1041.8,2.0,0.1,0.0,cma,20.0
201801031300,54218.0,1.0,3.0,2.0,80.0,320.0,3.0,-11.1,-21.8,40.9,1041.8,2.0,0.1,0.0,cma,20.0
201801031400,54218.0,1.0,3.0,2.0,80.0,320.0,3.0,-11.1,-21.8,40.9,1041.8,2.0,0.1,0.0,cma,20.0
201801031500,54218.0,1.0,3.0,2.0,80.0,290.0,2.0,-13.9,-22.8,46.9,1041.7,2.0,0.6,0.0,cma,34.0
201801031600,54218.0,1.0,3.0,2.0,80.0,290.0,2.0,-13.9,-22.8,46.9,1041.7,2.0,0.6,0.0,cma,34.0
201801031700,54218.0,1.0,3.0,2.0,80.0,290.0,2.0,-13.9,-22.8,46.9,1041.7,2.0,0.6,0.0,cma,34.0
201801031800,54218.0,1.0,3.0,2.0,80.0,140.0,1.0,-16.0,-23.6,52.0,1041.4,7.0,0.1,0.0,cma,24.0
201801031900,54218.0,1.0,3.0,2.0,80.0,140.0,1.0,-16.0,-23.6,52.0,1041.4,7.0,0.1,0.0,cma,24.0
201801032000,54218.0,1.0,3.0,2.0,80.0,140.0,1.0,-16.0,-23.6,52.0,1041.4,7.0,0.1,0.0,cma,24.0
201801032100,54218.0,1.0,3.0,2.0,68.0,0.0,0.0,-17.4,-23.3,60.0,1040.7,7.0,1.4,0.0,cma,20.0
201801032200,54218.0,1.0,3.0,2.0,68.0,0.0,0.0,-17.4,-23.3,60.0,1040.7,7.0,1.4,0.0,cma,20.0
201801032300,54218.0,1.0,3.0,2.0,68.0,0.0,0.0,-17.4,-23.3,60.0,1040.7,7.0,1.4,0.0,cma,20.0
201801040000,54218.0,1.0,3.0,2.0,73.0,290.0,2.0,-16.1,-22.9,55.8,1040.7,7.0,0.2,0.0,cma,11.0
201801040100,54218.0,1.0,3.0,2.0,73.0,290.0,2.0,-16.1,-22.9,55.8,1040.7,7.0,0.2,0.0,cma,11.0
201801040200,54218.0,1.0,3.0,2.0,73.0,290.0,2.0,-16.1,-22.9,55.8,1040.7,7.0,0.2,0.0,cma,11.0
201801040300,54218.0,1.0,3.0,2.0,80.0,290.0,2.0,-8.3,-22.8,30.0,1038.9,7.0,0.9,0.0,cma,13.0
201801040400,54218.0,1.0,3.0,2.0,80.0,290.0,2.0,-8.3,-22.8,30.0,1038.9,7.0,0.9,0.0,cma,13.0
201801040500,54218.0,1.0,3.0,2.0,80.0,290.0,2.0,-8.3,-22.8,30.0,1038.9,7.0,0.9,0.0,cma,13.0
201801040600,54218.0,1.0,3.0,2.0,80.0,290.0,2.0,-8.3,-22.8,30.0,1038.9,7.0,0.9,0.0,cma,13.0
201801040700,54218.0,1.0,3.0,2.0,80.0,290.0,2.0,-8.3,-22.8,30.0,1038.9,7.0,0.9,0.0,cma,13.0
201801040800,54218.0,1.0,3.0,2.0,80.0,290.0,2.0,-8.3,-22.8,30.0,1038.9,7.0,0.9,0.0,cma,13.0
201801040900,54218.0,1.0,3.0,2.0,60.0,20.0,1.0,-6.7,-22.2,28.0,1034.8,7.0,0.9,0.0,cma,26.0
201801041000,54218.0,1.0,3.0,2.0,60.0,20.0,1.0,-6.7,-22.2,28.0,1034.8,7.0,0.9,0.0,cma,26.0
201801041100,54218.0,1.0,3.0,2.0,60.0,20.0,1.0,-6.7,-22.2,28.0,1034.8,7.0,0.9,0.0,cma,26.0
