TM,PM10_yanan,PM10_qingdao,PM10_chifeng,PM10_dalian
201801110000,110.0,92.0,6.0,33.0
201801110300,31.0,26.0,5.0,64.0
201801110600,30.0,20.0,20.0,55.0
201801110900,66.0,21.0,23.0,45.0
201801111200,61.0,23.0,26.0,26.0
201801111500,32.0,27.0,43.0,38.0
201801111800,17.0,30.0,29.0,30.0
201801112100,19.0,31.0,21.0,25.0
201801120000,48.0,36.0,7.0,40.0
201801120300,110.0,46.0,16.0,29.0
201801120600,58.0,52.0,18.0,27.0
201801120900,116.0,62.0,25.0,37.0
201801121200,46.0,67.0,48.0,59.0
201801121500,27.0,77.0,56.0,55.0
201801121800,33.0,77.0,8.0,53.0
201801122100,41.0,71.0,14.0,48.0
201801130000,158.0,66.0,22.0,31.0
201801130300,54.0,59.0,129.0,68.0
201801130600,61.0,65.0,80.0,19.0
201801130900,42.0,54.0,63.0,46.0
201801131200,36.0,76.0,50.0,72.0
201801131500,45.0,74.0,26.0,70.0
201801131800,47.0,46.0,52.0,65.0
201801132100,40.0,68.0,55.0,56.0
201801140000,139.0,87.0,83.0,48.0
201801140300,64.0,97.0,120.0,50.0
201801140600,55.0,126.0,66.0,39.0
201801140900,60.0,138.0,106.0,25.0
201801141200,95.0,147.0,32.0,47.0
201801141500,77.0,154.0,44.0,97.0
201801141800,65.0,166.0,18.0,98.0
201801142100,61.0,126.0,16.0,116.0
201801150000,83.0,117.0,60.0,126.0
201801150300,76.0,120.0,65.0,120.0
201801150600,61.0,123.0,84.0,92.0
201801150900,52.0,117.0,129.0,82.0
201801151200,59.0,106.0,36.0,61.0
201801151500,157.0,132.0,95.0,95.0
201801151800,165.0,151.0,101.0,54.0
201801152100,101.0,190.0,32.0,31.0
201801160000,128.0,140.0,22.0,96.0
201801160300,103.0,109.0,17.0,103.0
201801160600,81.0,76.0,22.0,97.0
201801160900,127.0,76.0,95.0,129.0
201801161200,54.0,80.0,22.0,65.0
201801161500,92.0,93.0,22.0,103.0
201801161800,76.0,95.0,42.0,119.0
201801162100,81.0,129.0,58.0,103.0
201801170000,71.0,126.0,63.0,64.0
201801170300,39.0,155.0,41.0,103.0
201801170600,54.0,156.0,189.0,77.0
201801170900,176.0,150.2,20.0,120.0
201801171200,113.0,144.4,15.0,86.0
