TM,PM10_yanan,PM10_tongliao,PM10_qingdao,PM10_chifeng,PM10_dalian
201801161800,76.0,23.0,95.0,42.0,119.0
201801162100,81.0,44.0,129.0,58.0,103.0
201801170000,71.0,69.0,126.0,63.0,64.0
201801170300,39.0,54.0,155.0,41.0,103.0
201801170600,54.0,82.0,156.0,189.0,77.0
201801170900,176.0,71.0,0.0,20.0,120.0
201801171200,113.0,59.0,0.0,15.0,86.0
201801171500,63.0,111.0,0.0,24.0,91.0
201801171800,62.0,35.0,0.0,24.0,99.0
201801172100,78.0,6.0,127.0,32.0,100.0
201801180000,52.0,0.0,91.0,32.0,124.0
201801180300,107.0,26.0,77.0,28.0,126.0
201801180600,60.0,37.0,55.0,21.0,106.0
201801180900,110.0,35.0,48.0,22.0,102.0
201801181200,89.0,44.0,36.0,24.0,114.0
201801181500,23.0,93.0,39.0,27.0,44.0
201801181800,37.0,63.0,41.0,52.0,51.0
201801182100,35.0,163.0,47.0,39.0,31.0
201801190000,147.0,45.0,57.0,48.0,62.0
201801190300,0.0,29.0,89.0,43.0,55.0
201801190600,14.0,113.0,82.0,32.0,97.0
201801190900,120.0,28.0,91.0,47.0,75.0
201801191200,82.0,54.0,101.0,30.0,182.0
201801191500,76.0,55.0,117.0,28.0,233.0
201801191800,39.0,19.0,138.0,30.0,257.0
201801192100,46.0,5.0,172.0,23.0,228.0
201801200000,78.0,20.0,94.0,80.0,161.0
201801200300,0.0,16.0,84.0,43.0,84.0
201801200600,44.0,36.0,95.0,52.0,177.0
201801200900,39.0,4.0,91.0,69.0,136.0
201801201200,53.0,3.0,104.0,62.0,83.0
201801201500,20.0,25.0,89.0,49.0,78.0
201801201800,29.0,22.0,100.0,37.0,46.0
201801202100,50.0,29.0,106.0,100.0,70.0
201801210000,61.0,32.0,128.0,10.0,51.0
201801210300,0.0,5.0,105.0,8.0,33.0
201801210600,63.0,25.0,79.0,23.0,13.0
201801210900,76.0,27.0,70.0,18.0,18.0
201801211200,80.0,27.0,62.0,157.0,25.0
201801211500,77.0,21.0,60.0,23.0,26.0
201801211800,108.0,149.0,128.0,23.0,16.0
201801212100,120.0,0.0,59.0,26.0,19.0
201801220000,81.0,0.0,26.0,18.0,28.0
201801220300,103.0,19.0,20.0,42.0,76.0
201801220600,87.0,0.0,19.0,29.0,47.0
201801220900,117.0,34.0,18.0,42.0,59.0
201801221200,44.0,0.0,15.0,85.0,50.0
201801221500,4.0,42.0,10.0,24.0,68.0
201801221800,12.0,0.0,21.0,80.0,36.0
201801222100,19.0,19.0,21.0,33.0,30.0
201801230000,27.0,40.0,20.0,14.0,17.0
201801230300,47.0,14.0,14.0,11.0,18.0
201801230600,42.0,42.0,12.0,41.0,33.0
201801230900,25.0,159.0,8.0,19.0,41.0
201801231200,33.0,168.0,9.0,23.0,32.0
201801231500,80.0,85.0,10.0,24.0,18.0
201801231800,37.0,48.0,24.0,17.0,21.0
201801232100,54.0,24.0,30.0,10.0,45.0
201801240000,7.0,0.0,21.0,9.0,18.0
201801240300,23.0,7.0,25.0,14.0,39.0
201801240600,43.0,77.0,22.0,30.0,25.0
201801240900,41.0,37.0,17.0,22.0,45.0
201801241200,23.0,0.0,12.0,21.0,47.0
201801241500,12.0,39.0,8.0,26.0,27.0
201801241800,58.0,45.0,11.0,44.0,17.0
201801242100,59.0,0.0,15.0,39.0,25.0
201801250000,68.0,23.0,17.0,13.0,23.0
201801250300,83.0,21.0,19.0,25.0,16.0
201801250600,45.0,0.0,27.0,79.0,32.0
201801250900,34.0,0.0,11.0,39.0,17.0
201801251200,56.0,25.0,13.0,45.0,18.0
201801251500,62.0,56.0,14.0,75.0,16.0
201801251800,59.0,42.0,18.0,170.0,45.0
201801252100,39.0,2.0,23.0,120.0,53.0
201801260000,62.0,9.0,18.0,71.0,51.0
201801260300,35.0,32.0,17.0,60.0,40.0
201801260600,62.0,59.0,20.0,154.0,40.0
201801260900,37.0,23.0,17.0,45.0,35.0
201801261200,42.0,21.0,12.0,51.0,24.0
201801261500,58.0,32.0,10.0,98.0,16.0
201801261800,59.0,28.0,20.0,91.0,22.0
201801262100,67.0,31.0,36.0,29.0,26.0
201801270000,72.0,37.0,28.0,36.0,38.0
201801270300,103.0,12.0,23.0,14.0,23.0
201801270600,89.0,53.0,17.0,137.0,22.0
201801270900,0.0,42.0,22.0,81.0,59.0
201801271200,12.0,16.0,23.0,66.0,78.0
201801271500,12.0,23.0,34.0,66.0,65.0
201801271800,14.0,43.0,48.0,91.0,50.0
201801272100,0.0,39.0,70.0,71.0,60.0
201801280000,3.0,0.0,74.0,10.0,50.0
201801280300,25.0,0.0,12.0,5.0,63.0
201801280600,14.0,72.0,12.0,17.0,41.0
201801280900,1.0,102.0,18.0,30.0,47.0
201801281200,14.0,123.0,37.0,117.0,83.0
201801281500,44.0,64.0,40.0,28.0,56.0
201801281800,36.0,80.0,61.0,49.0,52.0
201801282100,26.0,51.0,84.0,51.0,35.0
201801290000,38.0,32.0,43.0,25.0,39.0
201801290300,42.0,23.0,29.0,13.0,101.0
201801290600,46.0,66.0,24.0,52.0,217.0
201801290900,27.0,15.0,22.0,52.0,117.0
201801291200,29.0,7.0,38.0,46.0,141.0
201801291500,44.0,47.0,34.0,17.0,79.0
201801291800,25.0,39.0,37.0,50.0,51.0
201801292100,49.0,32.0,44.0,22.0,74.0
201801300000,29.0,79.0,38.0,10.0,33.0
201801300300,13.0,59.0,35.0,24.0,77.0
201801300600,87.0,89.0,34.0,72.0,40.0
201801300900,57.0,91.0,36.0,10.0,34.0
201801301200,40.0,89.0,46.0,17.0,49.0
201801301500,105.0,80.0,57.0,56.0,18.0
201801301800,66.0,31.0,84.0,77.0,36.0
201801302100,34.0,9.0,89.0,65.0,63.0
201801310000,87.0,3.0,75.0,62.0,34.0
201801310300,56.0,33.0,33.0,37.0,26.0
201801310600,53.0,67.0,23.0,79.0,42.0
201801310900,73.0,64.0,32.0,53.0,53.0
201801311200,73.0,21.0,39.0,49.0,35.0
201801311500,28.0,29.0,46.0,210.0,30.0
201801311800,51.0,81.0,53.0,35.0,35.0
201801312100,58.0,34.0,33.0,9.0,59.0
201802010000,74.0,76.0,26.0,8.0,75.0
201802010300,38.0,45.0,23.0,22.0,30.0
201802010600,27.0,191.0,21.0,26.0,51.0
201802010900,33.0,22.0,23.0,94.0,73.0
201802011200,25.0,4.0,28.0,55.0,51.0
201802011500,0.0,22.0,56.0,14.0,52.0
201802011800,0.0,45.0,67.0,63.0,55.0
201802012100,0.0,20.0,57.0,102.0,45.0
201802020000,79.0,31.0,37.0,18.0,53.0
201802020300,81.0,29.0,20.0,17.0,36.0
201802020600,0.0,76.0,14.0,96.0,126.0
201802020900,27.0,0.0,13.0,34.0,92.0
201802021200,19.0,0.0,19.0,33.0,115.0
201802021500,67.0,10.0,26.0,12.0,63.0
201802021800,16.0,37.0,31.0,12.0,28.0
201802022100,17.0,23.0,26.0,10.0,39.0
201802030000,63.0,21.0,11.0,41.0,31.0
201802030300,89.0,18.0,11.0,17.0,16.0
201802030600,2.0,36.0,11.0,69.0,17.0
201802030900,22.0,14.0,11.0,17.0,20.0
201802031200,30.0,3.0,19.0,14.0,25.0
201802031500,84.0,18.0,15.0,42.0,23.0
201802031800,2.0,144.0,23.0,14.0,32.0
201802032100,9.0,56.0,39.0,11.0,39.0
201802040000,42.0,25.0,23.0,4.0,28.0
201802040300,25.0,0.0,17.0,7.0,19.0
201802040600,38.0,50.0,16.0,39.0,11.0
201802040900,28.0,32.0,21.0,24.0,16.0
201802041200,39.0,8.0,27.0,42.0,19.0
201802041500,70.0,60.0,21.0,19.0,15.0
201802041800,0.0,80.0,40.0,13.0,0.0
201802042100,6.0,64.0,55.0,10.0,27.0
201802050000,91.0,84.0,24.0,17.0,16.0
201802050300,71.0,27.0,12.0,29.0,8.0
201802050600,0.0,53.0,11.0,62.0,34.0
201802050900,36.0,35.0,9.0,66.0,47.0
201802051200,37.0,12.0,13.0,47.0,1.0
201802051500,108.0,34.0,14.0,64.0,35.0
201802051800,7.0,94.0,13.0,57.0,103.0
201802052100,14.0,25.0,17.0,55.0,32.0
201802060000,37.0,17.0,18.0,24.0,16.0
201802060300,66.0,27.0,22.0,16.0,19.0
201802060600,64.0,142.0,27.0,33.0,37.0
201802060900,52.0,84.0,25.0,16.0,27.0
201802061200,88.0,23.0,19.0,13.0,5.0
201802061500,21.0,40.0,21.0,21.0,33.0
201802061800,18.0,55.0,19.0,48.0,13.0
201802062100,13.0,24.0,23.0,10.0,17.0
201802070000,114.0,43.0,37.0,9.0,32.0
201802070300,60.0,48.0,75.0,13.0,28.0
201802070600,122.0,111.0,51.0,46.0,27.0
201802070900,57.0,20.0,49.0,59.0,10.0
201802071200,70.0,15.0,38.0,74.0,27.0
201802071500,98.0,63.0,36.0,45.0,14.0
201802071800,144.0,57.0,43.0,37.0,27.0
201802072100,536.0,21.0,68.0,45.0,70.0
201802080000,996.0,6.0,45.0,64.0,70.0
201802080300,596.0,8.0,41.0,69.0,60.0
201802080600,597.0,90.0,49.0,272.0,77.0
201802080900,507.0,179.0,52.0,115.0,31.0
201802081200,412.0,221.0,61.0,67.0,25.0
201802081500,188.0,102.0,73.0,22.0,19.0
201802081800,38.0,184.0,75.0,48.0,24.0
201802082100,75.0,105.0,75.0,61.0,62.0
201802090000,60.0,60.0,91.0,45.0,22.0
201802090300,90.0,62.0,95.0,56.0,19.0
201802090600,87.0,109.0,165.0,82.0,38.0
201802090900,67.0,38.0,187.0,58.0,48.0
201802091200,109.0,42.0,75.0,53.0,42.0
201802091500,67.0,45.0,73.0,39.0,74.0
201802091800,67.0,43.0,59.0,100.0,112.0
201802092100,45.0,33.0,55.0,50.0,145.0
201802100000,33.0,7.0,56.0,11.0,146.0
201802100300,19.0,23.0,46.0,9.0,80.0
201802100600,19.0,41.0,54.0,19.0,52.0
201802100900,22.0,50.0,57.0,85.0,62.0
201802101200,95.0,38.0,40.0,42.0,54.0
201802101500,36.0,50.0,47.0,75.0,13.0
201802101800,62.0,37.0,68.0,81.0,74.0
201802102100,23.0,11.0,79.0,48.0,91.0
201802110000,4.0,19.0,101.0,16.0,30.0
201802110300,7.0,44.0,62.0,9.0,12.0
201802110600,25.0,30.0,81.0,25.0,47.0
201802110900,54.0,103.0,64.0,68.0,51.0
201802111200,31.0,194.0,70.0,28.0,29.0
201802111500,50.0,234.0,85.0,18.0,60.0
201802111800,44.0,59.0,86.0,19.0,65.0
201802112100,55.0,26.0,86.0,19.0,35.0
201802120000,105.0,22.0,101.0,25.0,47.0
201802120300,30.0,15.0,83.0,25.0,52.0
201802120600,0.0,40.0,105.0,110.0,58.0
201802120900,162.0,35.0,86.0,40.0,85.0
201802121200,102.0,22.0,73.0,74.0,43.0
201802121500,100.0,36.0,64.0,80.0,9.0
201802121800,87.0,29.0,72.0,35.0,59.0
201802122100,7.0,18.0,64.0,39.0,49.0
201802130000,47.0,17.0,75.0,21.0,47.0
201802130300,49.0,20.0,51.0,4.0,46.0
201802130600,46.0,64.0,55.0,12.0,42.0
201802130900,44.0,0.0,64.0,99.0,48.0
201802131200,39.0,5.0,78.0,22.0,35.0
201802131500,120.0,38.0,80.0,25.0,51.0
201802131800,64.0,39.0,99.0,27.0,56.0
201802132100,63.0,63.0,135.0,11.0,68.0
201802140000,74.0,12.0,37.0,9.0,68.0
201802140300,57.0,19.0,23.0,8.0,75.0
201802140600,67.0,26.0,22.0,10.0,56.0
201802140900,77.0,93.0,31.0,14.0,100.0
201802141200,98.0,73.0,59.0,13.0,84.0
201802141500,93.0,64.0,40.0,20.0,15.0
201802141800,171.0,36.0,29.0,34.0,29.0
201802142100,163.0,20.0,27.0,23.0,24.0
201802150000,31.0,11.0,52.0,17.0,39.0
201802150300,0.0,28.0,50.0,4.0,39.0
201802150600,43.0,51.0,16.0,12.0,79.0
201802150900,77.0,23.0,20.0,34.0,30.0
201802151200,79.0,22.0,32.0,22.0,50.0
201802151500,51.0,23.0,51.0,23.0,43.0
201802151800,51.0,29.0,68.0,27.0,43.0
201802152100,78.0,780.0,112.0,15.0,68.0
201802160000,71.0,46.0,137.0,27.0,112.0
201802160300,40.0,33.0,137.0,24.0,37.0
201802160600,90.0,75.0,78.0,112.0,84.0
201802160900,157.0,152.0,20.0,34.0,57.0
