TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10
202101021900,54662.0,1.0,9.0,4.0,80.0,60.0,2.0,-5.5,-12.5,57.8,1034.9,2.0,0.4,2.0,cma,48.0
202101022000,54662.0,1.0,9.0,4.0,80.0,60.0,2.0,-5.5,-12.5,57.8,1034.9,2.0,0.4,2.0,cma,48.0
202101022100,54662.0,1.0,9.0,4.0,80.0,80.0,1.0,-5.7,-14.5,49.8,1035.4,2.0,0.5,2.0,cma,67.0
202101022200,54662.0,1.0,9.0,4.0,80.0,80.0,1.0,-5.7,-14.5,49.8,1035.4,2.0,0.5,2.0,cma,67.0
202101022300,54662.0,1.0,9.0,4.0,80.0,80.0,1.0,-5.7,-14.5,49.8,1035.4,2.0,0.5,2.0,cma,67.0
202101030000,54662.0,1.0,9.0,4.0,80.0,60.0,1.0,-6.1,-14.1,53.1,1036.1,2.0,0.6,2.0,cma,78.0
202101030100,54662.0,1.0,9.0,4.0,80.0,60.0,1.0,-6.1,-14.1,53.1,1036.1,2.0,0.6,2.0,cma,78.0
202101030200,54662.0,1.0,9.0,4.0,80.0,60.0,1.0,-6.1,-14.1,53.1,1036.1,2.0,0.6,2.0,cma,78.0
202101030300,54662.0,1.0,9.0,4.0,80.0,70.0,1.0,-3.6,-13.8,45.0,1036.1,2.0,0.1,2.0,cma,45.0
202101030400,54662.0,1.0,9.0,4.0,80.0,70.0,1.0,-3.6,-13.8,45.0,1036.1,2.0,0.1,2.0,cma,45.0
202101030500,54662.0,1.0,9.0,4.0,80.0,70.0,1.0,-3.6,-13.8,45.0,1036.1,2.0,0.1,2.0,cma,45.0
202101030600,54662.0,1.0,9.0,4.0,80.0,10.0,2.0,-1.8,-13.0,42.1,1033.5,7.0,2.6,2.0,cma,46.0
202101030700,54662.0,1.0,9.0,4.0,80.0,10.0,2.0,-1.8,-13.0,42.1,1033.5,7.0,2.6,2.0,cma,46.0
202101030800,54662.0,1.0,9.0,4.0,80.0,10.0,2.0,-1.8,-13.0,42.1,1033.5,7.0,2.6,2.0,cma,46.0
202101030900,54662.0,1.0,9.0,4.0,80.0,100.0,1.0,-2.9,-11.9,49.9,1033.3,7.0,0.2,2.0,cma,48.0
202101031000,54662.0,1.0,9.0,4.0,80.0,100.0,1.0,-2.9,-11.9,49.9,1033.3,7.0,0.2,2.0,cma,48.0
202101031100,54662.0,1.0,9.0,4.0,80.0,100.0,1.0,-2.9,-11.9,49.9,1033.3,7.0,0.2,2.0,cma,48.0
202101031200,54662.0,1.0,9.0,4.0,77.0,300.0,1.0,-3.9,-10.5,60.1,1034.3,2.0,1.0,2.0,cma,40.0
202101031300,54662.0,1.0,9.0,4.0,77.0,300.0,1.0,-3.9,-10.5,60.1,1034.3,2.0,1.0,2.0,cma,40.0
202101031400,54662.0,1.0,9.0,4.0,77.0,300.0,1.0,-3.9,-10.5,60.1,1034.3,2.0,1.0,2.0,cma,40.0
202101031500,54662.0,1.0,9.0,4.0,72.0,50.0,1.0,-3.8,-9.6,64.0,1033.9,7.0,0.4,2.0,cma,58.0
202101031600,54662.0,1.0,9.0,4.0,72.0,50.0,1.0,-3.8,-9.6,64.0,1033.9,7.0,0.4,2.0,cma,58.0
202101031700,54662.0,1.0,9.0,4.0,72.0,50.0,1.0,-3.8,-9.6,64.0,1033.9,7.0,0.4,2.0,cma,58.0
202101031800,54662.0,1.0,9.0,4.0,74.0,80.0,2.0,-3.0,-8.3,66.8,1032.7,7.0,1.1,2.0,cma,71.0
202101031900,54662.0,1.0,9.0,4.0,74.0,80.0,2.0,-3.0,-8.3,66.8,1032.7,7.0,1.1,2.0,cma,71.0
202101032000,54662.0,1.0,9.0,4.0,74.0,80.0,2.0,-3.0,-8.3,66.8,1032.7,7.0,1.1,2.0,cma,71.0
202101032100,54662.0,1.0,9.0,4.0,70.0,80.0,2.0,-3.4,-7.5,73.2,1031.5,7.0,1.2,2.0,cma,59.0
202101032200,54662.0,1.0,9.0,4.0,70.0,80.0,2.0,-3.4,-7.5,73.2,1031.5,7.0,1.2,2.0,cma,59.0
202101032300,54662.0,1.0,9.0,4.0,70.0,80.0,2.0,-3.4,-7.5,73.2,1031.5,7.0,1.2,2.0,cma,59.0
202101040000,54662.0,1.0,9.0,4.0,37.0,60.0,3.0,-3.0,-5.2,84.8,1031.8,2.0,0.3,2.0,cma,85.0
202101040100,54662.0,1.0,9.0,4.0,37.0,60.0,3.0,-3.0,-5.2,84.8,1031.8,2.0,0.3,2.0,cma,85.0
202101040200,54662.0,1.0,9.0,4.0,37.0,60.0,3.0,-3.0,-5.2,84.8,1031.8,2.0,0.3,2.0,cma,85.0
202101040300,54662.0,1.0,9.0,4.0,21.0,40.0,2.0,-3.2,-4.3,92.1,1032.0,2.0,0.2,2.0,cma,54.0
202101040400,54662.0,1.0,9.0,4.0,21.0,40.0,2.0,-3.2,-4.3,92.1,1032.0,2.0,0.2,2.0,cma,54.0
202101040500,54662.0,1.0,9.0,4.0,21.0,40.0,2.0,-3.2,-4.3,92.1,1032.0,2.0,0.2,2.0,cma,54.0
202101040600,54662.0,1.0,9.0,4.0,71.0,340.0,2.0,-2.2,-6.0,75.1,1030.1,7.0,1.9,2.0,cma,62.0
202101040700,54662.0,1.0,9.0,4.0,71.0,340.0,2.0,-2.2,-6.0,75.1,1030.1,7.0,1.9,2.0,cma,62.0
202101040800,54662.0,1.0,9.0,4.0,71.0,340.0,2.0,-2.2,-6.0,75.1,1030.1,7.0,1.9,2.0,cma,62.0
202101040900,54662.0,1.0,9.0,4.0,62.0,360.0,3.0,-3.6,-5.9,84.0,1030.9,2.0,0.8,2.0,cma,64.0
202101041000,54662.0,1.0,9.0,4.0,62.0,360.0,3.0,-3.6,-5.9,84.0,1030.9,2.0,0.8,2.0,cma,64.0
202101041100,54662.0,1.0,9.0,4.0,62.0,360.0,3.0,-3.6,-5.9,84.0,1030.9,2.0,0.8,2.0,cma,64.0
202101041200,54662.0,1.0,9.0,4.0,80.0,360.0,5.0,-5.8,-13.8,53.2,1033.1,2.0,2.1,2.0,cma,51.0
202101041300,54662.0,1.0,9.0,4.0,80.0,360.0,5.0,-5.8,-13.8,53.2,1033.1,2.0,2.1,2.0,cma,51.0
202101041400,54662.0,1.0,9.0,4.0,80.0,360.0,5.0,-5.8,-13.8,53.2,1033.1,2.0,2.1,2.0,cma,51.0
202101041500,54662.0,1.0,9.0,4.0,75.0,360.0,4.0,-6.9,-16.3,47.1,1034.1,2.0,1.0,2.0,cma,45.0
202101041600,54662.0,1.0,9.0,4.0,75.0,360.0,4.0,-6.9,-16.3,47.1,1034.1,2.0,1.0,2.0,cma,45.0
202101041700,54662.0,1.0,9.0,4.0,75.0,360.0,4.0,-6.9,-16.3,47.1,1034.1,2.0,1.0,2.0,cma,45.0
202101041800,54662.0,1.0,9.0,4.0,80.0,350.0,2.0,,-17.8,48.9,1034.7,2.0,0.5,2.0,cma,68.0
202101041900,54662.0,1.0,9.0,4.0,80.0,350.0,2.0,,-17.8,48.9,1034.7,2.0,0.5,2.0,cma,68.0
202101042000,54662.0,1.0,9.0,4.0,80.0,350.0,2.0,,-17.8,48.9,1034.7,2.0,0.5,2.0,cma,68.0
202101042100,54662.0,1.0,9.0,4.0,80.0,360.0,4.0,-10.2,-22.8,34.9,1035.8,2.0,1.1,2.0,cma,45.0
202101042200,54662.0,1.0,9.0,4.0,80.0,360.0,4.0,-10.2,-22.8,34.9,1035.8,2.0,1.1,2.0,cma,45.0
202101042300,54662.0,1.0,9.0,4.0,80.0,360.0,4.0,-10.2,-22.8,34.9,1035.8,2.0,1.1,2.0,cma,45.0
202101050000,54662.0,1.0,9.0,4.0,80.0,20.0,5.0,-10.7,-21.1,42.1,1037.1,2.0,1.2,2.0,cma,70.0
202101050100,54662.0,1.0,9.0,4.0,80.0,20.0,5.0,-10.7,-21.1,42.1,1037.1,2.0,1.2,2.0,cma,70.0
202101050200,54662.0,1.0,9.0,4.0,80.0,20.0,5.0,-10.7,-21.1,42.1,1037.1,2.0,1.2,2.0,cma,70.0
202101050300,54662.0,1.0,9.0,4.0,80.0,360.0,5.0,-9.1,-20.5,39.1,1036.6,7.0,0.5,2.0,cma,69.0
202101050400,54662.0,1.0,9.0,4.0,80.0,360.0,5.0,-9.1,-20.5,39.1,1036.6,7.0,0.5,2.0,cma,69.0
202101050500,54662.0,1.0,9.0,4.0,80.0,360.0,5.0,-9.1,-20.5,39.1,1036.6,7.0,0.5,2.0,cma,69.0
202101050600,54662.0,1.0,9.0,4.0,80.0,360.0,3.0,-7.6,-18.9,39.9,1033.9,7.0,2.7,2.0,cma,25.0
202101050700,54662.0,1.0,9.0,4.0,80.0,360.0,3.0,-7.6,-18.9,39.9,1033.9,7.0,2.7,2.0,cma,25.0
202101050800,54662.0,1.0,9.0,4.0,80.0,360.0,3.0,-7.6,-18.9,39.9,1033.9,7.0,2.7,2.0,cma,25.0
202101050900,54662.0,1.0,9.0,4.0,80.0,10.0,3.0,-8.7,-16.8,51.9,1034.0,2.0,0.1,2.0,cma,21.0
202101051000,54662.0,1.0,9.0,4.0,80.0,10.0,3.0,-8.7,-16.8,51.9,1034.0,2.0,0.1,2.0,cma,21.0
202101051100,54662.0,1.0,9.0,4.0,80.0,10.0,3.0,-8.7,-16.8,51.9,1034.0,2.0,0.1,2.0,cma,21.0
202101051200,54662.0,1.0,9.0,4.0,80.0,360.0,3.0,-9.2,-17.7,50.1,1034.3,2.0,0.2,2.0,cma,15.0
202101051300,54662.0,1.0,9.0,4.0,80.0,360.0,3.0,-9.2,-17.7,50.1,1034.3,2.0,0.2,2.0,cma,15.0
202101051400,54662.0,1.0,9.0,4.0,80.0,360.0,3.0,-9.2,-17.7,50.1,1034.3,2.0,0.2,2.0,cma,15.0
202101051500,54662.0,1.0,9.0,4.0,80.0,360.0,2.0,-9.6,-17.4,53.0,1032.9,7.0,1.3,2.0,cma,14.0
202101051600,54662.0,1.0,9.0,4.0,80.0,360.0,2.0,-9.6,-17.4,53.0,1032.9,7.0,1.3,2.0,cma,14.0
202101051700,54662.0,1.0,9.0,4.0,80.0,360.0,2.0,-9.6,-17.4,53.0,1032.9,7.0,1.3,2.0,cma,14.0
202101051800,54662.0,1.0,9.0,4.0,80.0,190.0,1.0,-9.7,-15.2,64.2,1030.6,7.0,2.3,2.0,cma,27.0
202101051900,54662.0,1.0,9.0,4.0,80.0,190.0,1.0,-9.7,-15.2,64.2,1030.6,7.0,2.3,2.0,cma,27.0
202101052000,54662.0,1.0,9.0,4.0,80.0,190.0,1.0,-9.7,-15.2,64.2,1030.6,7.0,2.3,2.0,cma,27.0
202101052100,54662.0,1.0,9.0,4.0,80.0,190.0,1.0,-8.1,-14.1,62.0,1028.2,7.0,2.3,2.0,cma,21.0
202101052200,54662.0,1.0,9.0,4.0,80.0,190.0,1.0,-8.1,-14.1,62.0,1028.2,7.0,2.3,2.0,cma,21.0
202101052300,54662.0,1.0,9.0,4.0,80.0,190.0,1.0,-8.1,-14.1,62.0,1028.2,7.0,2.3,2.0,cma,21.0
202101060000,54662.0,1.0,9.0,4.0,59.0,220.0,3.0,-5.6,,76.9,1027.1,7.0,1.1,2.0,cma,30.0
202101060100,54662.0,1.0,9.0,4.0,59.0,220.0,3.0,-5.6,,76.9,1027.1,7.0,1.1,2.0,cma,30.0
202101060200,54662.0,1.0,9.0,4.0,59.0,220.0,3.0,-5.6,,76.9,1027.1,7.0,1.1,2.0,cma,30.0
202101060300,54662.0,1.0,9.0,4.0,27.0,360.0,4.0,-8.5,-10.6,84.8,1025.7,7.0,1.4,2.0,cma,38.0
202101060400,54662.0,1.0,9.0,4.0,27.0,360.0,4.0,-8.5,-10.6,84.8,1025.7,7.0,1.4,2.0,cma,38.0
202101060500,54662.0,1.0,9.0,4.0,27.0,360.0,4.0,-8.5,-10.6,84.8,1025.7,7.0,1.4,2.0,cma,38.0
202101060600,54662.0,1.0,9.0,4.0,8.0,360.0,4.0,-9.9,-11.5,88.1,1024.4,7.0,1.3,2.0,cma,27.0
202101060700,54662.0,1.0,9.0,4.0,8.0,360.0,4.0,-9.9,-11.5,88.1,1024.4,7.0,1.3,2.0,cma,27.0
202101060800,54662.0,1.0,9.0,4.0,8.0,360.0,4.0,-9.9,-11.5,88.1,1024.4,7.0,1.3,2.0,cma,27.0
202101060900,54662.0,1.0,9.0,4.0,23.0,360.0,6.0,-13.1,-15.8,80.1,1028.0,2.0,3.5,2.0,cma,30.0
202101061000,54662.0,1.0,9.0,4.0,23.0,360.0,6.0,-13.1,-15.8,80.1,1028.0,2.0,3.5,2.0,cma,30.0
202101061100,54662.0,1.0,9.0,4.0,23.0,360.0,6.0,-13.1,-15.8,80.1,1028.0,2.0,3.5,2.0,cma,30.0
202101061200,54662.0,1.0,9.0,4.0,17.0,10.0,8.0,-13.8,-17.0,76.7,1030.7,2.0,2.7,2.0,cma,114.0
202101061300,54662.0,1.0,9.0,4.0,17.0,10.0,8.0,-13.8,-17.0,76.7,1030.7,2.0,2.7,2.0,cma,114.0
202101061400,54662.0,1.0,9.0,4.0,17.0,10.0,8.0,-13.8,-17.0,76.7,1030.7,2.0,2.7,2.0,cma,114.0
202101061500,54662.0,1.0,9.0,4.0,66.0,10.0,7.0,-14.9,-21.3,58.1,1032.7,2.0,1.9,2.0,cma,283.0
202101061600,54662.0,1.0,9.0,4.0,66.0,10.0,7.0,-14.9,-21.3,58.1,1032.7,2.0,1.9,2.0,cma,283.0
202101061700,54662.0,1.0,9.0,4.0,66.0,10.0,7.0,-14.9,-21.3,58.1,1032.7,2.0,1.9,2.0,cma,283.0
202101061800,54662.0,1.0,9.0,4.0,80.0,360.0,5.0,-15.4,-21.6,59.0,1033.6,2.0,0.8,2.0,cma,120.0
202101061900,54662.0,1.0,9.0,4.0,80.0,360.0,5.0,-15.4,-21.6,59.0,1033.6,2.0,0.8,2.0,cma,120.0
202101062000,54662.0,1.0,9.0,4.0,80.0,360.0,5.0,-15.4,-21.6,59.0,1033.6,2.0,0.8,2.0,cma,120.0
202101062100,54662.0,1.0,9.0,4.0,64.0,10.0,6.0,-16.2,-21.4,64.2,1033.2,7.0,0.5,2.0,cma,59.0
202101062200,54662.0,1.0,9.0,4.0,64.0,10.0,6.0,-16.2,-21.4,64.2,1033.2,7.0,0.5,2.0,cma,59.0
202101062300,54662.0,1.0,9.0,4.0,64.0,10.0,6.0,-16.2,-21.4,64.2,1033.2,7.0,0.5,2.0,cma,59.0
202101070000,54662.0,1.0,9.0,4.0,50.0,10.0,3.0,-16.5,-21.0,68.1,1034.2,2.0,1.0,2.0,cma,73.0
202101070100,54662.0,1.0,9.0,4.0,50.0,10.0,3.0,-16.5,-21.0,68.1,1034.2,2.0,1.0,2.0,cma,73.0
202101070200,54662.0,1.0,9.0,4.0,50.0,10.0,3.0,-16.5,-21.0,68.1,1034.2,2.0,1.0,2.0,cma,73.0
202101070300,54662.0,1.0,9.0,4.0,65.0,10.0,4.0,-15.2,-21.0,61.2,1032.8,7.0,1.4,2.0,cma,24.0
202101070400,54662.0,1.0,9.0,4.0,65.0,10.0,4.0,-15.2,-21.0,61.2,1032.8,7.0,1.4,2.0,cma,24.0
202101070500,54662.0,1.0,9.0,4.0,65.0,10.0,4.0,-15.2,-21.0,61.2,1032.8,7.0,1.4,2.0,cma,24.0
202101070600,54662.0,1.0,9.0,4.0,20.0,360.0,4.0,-15.2,-18.6,75.2,1030.6,7.0,2.2,2.0,cma,76.0
202101070700,54662.0,1.0,9.0,4.0,20.0,360.0,4.0,-15.2,-18.6,75.2,1030.6,7.0,2.2,2.0,cma,76.0
202101070800,54662.0,1.0,9.0,4.0,20.0,360.0,4.0,-15.2,-18.6,75.2,1030.6,7.0,2.2,2.0,cma,76.0
202101070900,54662.0,1.0,9.0,4.0,56.0,20.0,2.0,-14.5,-17.0,81.3,1031.4,2.0,0.8,2.0,cma,167.0
202101071000,54662.0,1.0,9.0,4.0,56.0,20.0,2.0,-14.5,-17.0,81.3,1031.4,2.0,0.8,2.0,cma,167.0
202101071100,54662.0,1.0,9.0,4.0,56.0,20.0,2.0,-14.5,-17.0,81.3,1031.4,2.0,0.8,2.0,cma,167.0
202101071200,54662.0,1.0,9.0,4.0,56.0,360.0,3.0,-13.0,-17.7,67.8,1031.9,2.0,0.5,2.0,cma,56.0
202101071300,54662.0,1.0,9.0,4.0,56.0,360.0,3.0,-13.0,-17.7,67.8,1031.9,2.0,0.5,2.0,cma,56.0
202101071400,54662.0,1.0,9.0,4.0,56.0,360.0,3.0,-13.0,-17.7,67.8,1031.9,2.0,0.5,2.0,cma,56.0
202101071500,54662.0,1.0,9.0,4.0,80.0,240.0,0.0,-12.4,-17.8,64.0,1030.4,7.0,1.4,2.0,cma,225.0
202101071600,54662.0,1.0,9.0,4.0,80.0,240.0,0.0,-12.4,-17.8,64.0,1030.4,7.0,1.4,2.0,cma,225.0
202101071700,54662.0,1.0,9.0,4.0,80.0,240.0,0.0,-12.4,-17.8,64.0,1030.4,7.0,1.4,2.0,cma,225.0
202101071800,54662.0,1.0,9.0,4.0,80.0,30.0,1.0,-14.4,-19.5,65.2,1029.8,7.0,0.6,2.0,cma,203.0
202101071900,54662.0,1.0,9.0,4.0,80.0,30.0,1.0,-14.4,-19.5,65.2,1029.8,7.0,0.6,2.0,cma,203.0
202101072000,54662.0,1.0,9.0,4.0,80.0,30.0,1.0,-14.4,-19.5,65.2,1029.8,7.0,0.6,2.0,cma,203.0
202101072100,54662.0,1.0,9.0,4.0,80.0,360.0,2.0,-14.1,-19.2,65.3,1029.0,7.0,0.8,2.0,cma,19.0
202101072200,54662.0,1.0,9.0,4.0,80.0,360.0,2.0,-14.1,-19.2,65.3,1029.0,7.0,0.8,2.0,cma,19.0
202101072300,54662.0,1.0,9.0,4.0,80.0,360.0,2.0,-14.1,-19.2,65.3,1029.0,7.0,0.8,2.0,cma,19.0
202101080000,54662.0,1.0,9.0,4.0,56.0,360.0,4.0,-13.9,-17.4,74.8,1029.0,4.0,0.0,2.0,cma,21.0
202101080100,54662.0,1.0,9.0,4.0,56.0,360.0,4.0,-13.9,-17.4,74.8,1029.0,4.0,0.0,2.0,cma,21.0
