TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10,LON,LAT
201801060900,53845.0,1.0,4.0,1.0,18.0,20.0,2.0,-3.7,-5.2,89.3,1025.3,2.0,0.1,0.0,cma,68.0,109.5,36.6
201801061200,53845.0,1.0,1.0,1.0,11.0,40.0,1.0,-4.1,-5.1,92.7,1026.9,2.0,1.4,1.0,cma,53.0,109.5,36.6
201801061500,53845.0,1.0,4.0,1.0,19.0,200.0,1.0,-4.4,-5.4,92.7,1027.3,2.0,0.6,0.0,cma,59.0,109.5,36.6
201801061800,53845.0,1.0,1.0,1.0,35.0,290.0,4.0,-5.3,-7.9,81.9,1026.7,7.0,0.3,1.0,cma,66.0,109.5,36.6
201801062100,53845.0,1.0,4.0,1.0,58.0,360.0,2.0,-7.0,-11.2,71.9,1026.6,7.0,0.7,0.0,cma,70.0,109.5,36.6
201801070000,53845.0,1.0,1.0,2.0,58.0,290.0,3.0,-7.7,-12.0,71.2,1028.7,2.0,1.5,2.0,cma,64.0,109.5,36.6
201801070300,53845.0,1.0,4.0,1.0,9.0,320.0,2.0,-8.7,-11.1,82.7,1030.7,2.0,1.4,0.0,cma,15.0,109.5,36.6
201801070600,53845.0,1.0,1.0,1.0,59.0,340.0,2.0,-6.9,-12.0,67.0,1028.8,7.0,1.4,1.0,cma,22.0,109.5,36.6
201801070900,53845.0,1.0,4.0,2.0,69.0,360.0,3.0,-7.2,-15.6,51.1,1030.1,2.0,0.6,0.0,cma,41.0,109.5,36.6
201801071200,53845.0,1.0,3.0,2.0,63.0,340.0,3.0,-9.3,-15.8,59.1,1034.0,2.0,2.7,0.0,cma,52.0,109.5,36.6
201801071500,53845.0,1.0,3.0,2.0,60.0,250.0,2.0,-11.3,-16.0,68.2,1037.3,2.0,2.1,0.0,cma,22.0,109.5,36.6
201801071800,53845.0,1.0,3.0,2.0,64.0,270.0,3.0,-12.4,-19.2,56.8,1037.2,2.0,0.1,0.0,cma,39.0,109.5,36.6
201801072100,53845.0,1.0,3.0,2.0,75.0,290.0,2.0,-14.4,-20.5,59.8,1036.3,7.0,1.4,0.0,cma,62.0,109.5,36.6
201801080000,53845.0,1.0,3.0,2.0,80.0,220.0,2.0,-13.7,-20.6,56.0,1037.2,2.0,0.4,0.0,cma,45.0,109.5,36.6
201801080300,53845.0,1.0,3.0,2.0,80.0,250.0,4.0,-8.4,-19.0,42.1,1036.1,7.0,0.1,0.0,cma,23.0,109.5,36.6
201801080600,53845.0,1.0,3.0,2.0,80.0,290.0,3.0,-4.7,-18.5,33.1,1032.3,7.0,2.6,0.0,cma,33.0,109.5,36.6
201801080900,53845.0,1.0,3.0,2.0,80.0,320.0,4.0,-4.2,-16.7,37.1,1033.0,2.0,0.2,0.0,cma,36.0,109.5,36.6
201801081200,53845.0,1.0,3.0,2.0,80.0,320.0,2.0,-6.5,-16.7,44.2,1035.6,2.0,1.9,0.0,cma,43.0,109.5,36.6
201801081500,53845.0,1.0,3.0,2.0,80.0,220.0,1.0,-10.5,-16.0,64.0,1035.4,2.0,0.1,0.0,cma,15.0,109.5,36.6
201801081800,53845.0,1.0,3.0,2.0,80.0,250.0,1.0,-12.1,-18.1,60.9,1033.5,7.0,1.1,0.0,cma,6.0,109.5,36.6
201801082100,53845.0,1.0,3.0,2.0,80.0,220.0,1.0,-14.0,-18.3,69.9,1033.2,7.0,0.6,0.0,cma,40.0,109.5,36.6
201801090000,53845.0,1.0,3.0,2.0,76.0,200.0,2.0,-14.9,-19.3,69.1,1035.3,2.0,1.0,0.0,cma,31.0,109.5,36.6
201801090300,53845.0,1.0,3.0,2.0,77.0,220.0,1.0,-6.9,-17.4,42.9,1036.6,2.0,2.1,0.0,cma,19.0,109.5,36.6
201801090600,53845.0,1.0,3.0,2.0,80.0,290.0,5.0,-3.6,-16.5,36.0,1033.6,7.0,2.1,0.0,cma,17.0,109.5,36.6
201801090900,53845.0,1.0,3.0,2.0,80.0,340.0,4.0,-3.6,-16.5,36.0,1034.8,2.0,0.5,0.0,cma,19.0,109.5,36.6
201801091200,53845.0,1.0,3.0,2.0,79.0,290.0,2.0,-5.7,-16.6,41.9,1037.5,2.0,1.6,0.0,cma,67.0,109.5,36.6
201801091500,53845.0,1.0,3.0,2.0,63.0,320.0,1.0,-9.3,-14.3,66.9,1037.6,2.0,1.2,0.0,cma,53.0,109.5,36.6
201801091800,53845.0,1.0,3.0,2.0,69.0,270.0,2.0,-10.8,-16.1,65.0,1037.3,2.0,0.2,0.0,cma,50.0,109.5,36.6
201801092100,53845.0,1.0,3.0,2.0,72.0,290.0,1.0,-14.0,-18.1,71.1,1037.7,7.0,0.5,0.0,cma,62.0,109.5,36.6
201801100000,53845.0,1.0,3.0,2.0,80.0,250.0,2.0,-13.4,-17.9,68.8,1038.9,2.0,0.7,0.0,cma,137.0,109.5,36.6
201801100300,53845.0,1.0,3.0,2.0,60.0,220.0,1.0,-6.1,-15.3,48.1,1039.0,2.0,1.0,0.0,cma,83.0,109.5,36.6
201801100600,53845.0,1.0,3.0,2.0,80.0,320.0,3.0,-1.8,-15.6,34.0,1034.6,7.0,3.1,0.0,cma,55.0,109.5,36.6
201801100900,53845.0,1.0,3.0,2.0,80.0,270.0,2.0,0.0,-14.0,34.0,1034.8,7.0,0.2,0.0,cma,40.0,109.5,36.6
201801101200,53845.0,1.0,3.0,2.0,80.0,290.0,1.0,-3.8,-14.3,43.9,1037.2,2.0,1.3,0.0,cma,116.0,109.5,36.6
201801101500,53845.0,1.0,3.0,2.0,64.0,220.0,1.0,-8.2,-12.9,68.9,1037.4,2.0,0.9,0.0,cma,1.0,109.5,36.6
201801101800,53845.0,1.0,3.0,2.0,63.0,0.0,0.0,-11.6,-14.2,81.0,1037.3,2.0,0.1,0.0,cma,21.0,109.5,36.6
201801102100,53845.0,1.0,3.0,2.0,78.0,250.0,1.0,-12.5,-14.9,82.2,1037.3,2.0,0.3,0.0,cma,60.0,109.5,36.6
201801110000,53845.0,1.0,3.0,2.0,65.0,360.0,1.0,-14.9,-17.3,81.9,1041.5,2.0,2.0,0.0,cma,45.0,109.5,36.6
