TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10,LON,LAT
201801052100,54135.0,1.0,3.0,2.0,80.0,270.0,1.0,-12.7,-19.0,59.2,1026.5,7.0,0.2,0.0,cma,50.0,122.37,43.6
201801060000,54135.0,1.0,3.0,2.0,58.0,270.0,2.0,-13.6,-18.9,64.3,1026.9,2.0,0.3,0.0,cma,13.0,122.37,43.6
201801060300,54135.0,1.0,3.0,2.0,80.0,270.0,3.0,-5.1,-16.9,39.0,1026.9,2.0,0.3,0.0,cma,4.0,122.37,43.6
201801060600,54135.0,1.0,3.0,2.0,80.0,290.0,2.0,-1.1,-16.5,29.9,1024.2,7.0,2.6,0.0,cma,7.0,122.37,43.6
201801060900,54135.0,1.0,3.0,2.0,61.0,270.0,1.0,-3.0,-17.0,33.0,1024.7,2.0,0.4,0.0,cma,75.0,122.37,43.6
201801061200,54135.0,1.0,3.0,2.0,69.0,270.0,2.0,-5.6,-17.4,38.9,1024.2,7.0,0.7,0.0,cma,18.0,122.37,43.6
201801061500,54135.0,1.0,3.0,2.0,76.0,320.0,1.0,-6.9,-17.7,41.9,1023.6,7.0,0.2,0.0,cma,2.0,122.37,43.6
201801061800,54135.0,1.0,3.0,2.0,80.0,180.0,1.0,-7.8,-17.4,46.0,1023.5,4.0,0.0,0.0,cma,33.0,122.37,43.6
201801062100,54135.0,1.0,3.0,2.0,73.0,180.0,1.0,-8.2,-17.3,47.9,1021.9,7.0,1.7,0.0,cma,58.0,122.37,43.6
201801070000,54135.0,1.0,3.0,2.0,65.0,250.0,1.0,-8.2,-17.0,49.1,1021.4,7.0,0.6,0.0,cma,19.0,122.37,43.6
201801070300,54135.0,1.0,3.0,2.0,66.0,270.0,2.0,-4.2,-16.1,39.0,1020.4,7.0,0.8,0.0,cma,11.0,122.37,43.6
201801070600,54135.0,1.0,3.0,2.0,79.0,270.0,1.0,0.0,-15.5,30.0,1017.2,7.0,3.0,0.0,cma,50.0,122.37,43.6
201801070900,54135.0,1.0,3.0,2.0,59.0,250.0,2.0,-1.8,-15.2,35.1,1016.9,7.0,0.4,0.0,cma,49.0,122.37,43.6
201801071200,54135.0,1.0,3.0,2.0,59.0,250.0,2.0,-3.3,-15.3,38.9,1016.3,7.0,0.6,0.0,cma,43.0,122.37,43.6
201801071500,54135.0,1.0,3.0,2.0,66.0,290.0,2.0,-3.8,-15.4,40.1,1015.8,7.0,0.4,0.0,cma,73.0,122.37,43.6
201801071800,54135.0,1.0,3.0,2.0,58.0,270.0,3.0,-5.4,-10.0,70.0,1015.8,2.0,0.1,0.0,cma,73.0,122.37,43.6
201801072100,54135.0,1.0,4.0,2.0,65.0,270.0,2.0,-7.4,-8.6,91.1,1013.9,7.0,2.0,0.0,cma,92.0,122.37,43.6
201801080000,54135.0,1.0,1.0,1.0,57.0,320.0,3.0,-8.5,-12.0,75.8,1013.3,7.0,0.7,1.0,cma,67.0,122.37,43.6
201801080300,54135.0,1.0,3.0,1.0,78.0,320.0,2.0,-8.2,-16.8,49.9,1011.5,7.0,1.8,0.0,cma,139.0,122.37,43.6
201801080600,54135.0,1.0,3.0,1.0,63.0,290.0,4.0,-8.9,-15.2,60.2,1010.6,7.0,0.9,0.0,cma,0.0,122.37,43.6
201801080900,54135.0,1.0,4.0,1.0,41.0,290.0,3.0,-9.7,-11.7,85.3,1011.5,2.0,0.7,0.0,cma,12.0,122.37,43.6
201801081200,54135.0,1.0,1.0,1.0,60.0,290.0,4.0,-9.5,-11.5,85.3,1012.0,2.0,0.5,1.0,cma,66.0,122.37,43.6
201801081500,54135.0,1.0,4.0,2.0,80.0,290.0,2.0,-11.6,-17.8,60.0,1013.0,2.0,0.9,0.0,cma,119.0,122.37,43.6
201801081800,54135.0,1.0,3.0,2.0,80.0,270.0,2.0,-12.8,-18.6,61.8,1013.1,4.0,0.0,0.0,cma,50.0,122.37,43.6
201801082100,54135.0,1.0,3.0,2.0,80.0,290.0,2.0,-13.4,-19.1,62.2,1012.7,7.0,0.5,0.0,cma,10.0,122.37,43.6
201801090000,54135.0,1.0,3.0,2.0,63.0,270.0,2.0,-13.8,-19.3,63.1,1013.6,2.0,0.9,0.0,cma,4.0,122.37,43.6
201801090300,54135.0,1.0,3.0,2.0,73.0,290.0,2.0,-9.9,-17.0,56.1,1013.5,4.0,0.0,0.0,cma,0.0,122.37,43.6
201801090600,54135.0,1.0,3.0,1.0,62.0,270.0,3.0,-9.8,-16.3,59.0,1013.6,4.0,0.0,0.0,cma,0.0,122.37,43.6
201801090900,54135.0,1.0,3.0,2.0,72.0,270.0,3.0,-11.4,-20.2,48.1,1015.4,2.0,1.7,0.0,cma,54.0,122.37,43.6
201801091200,54135.0,1.0,3.0,2.0,74.0,290.0,3.0,-14.2,-21.9,52.1,1017.1,2.0,1.5,0.0,cma,40.0,122.37,43.6
201801091500,54135.0,1.0,3.0,2.0,63.0,320.0,3.0,-15.2,-20.8,62.2,1018.6,2.0,1.6,0.0,cma,0.0,122.37,43.6
201801091800,54135.0,1.0,3.0,2.0,79.0,320.0,5.0,-15.5,-22.3,56.0,1020.3,2.0,1.7,0.0,cma,45.0,122.37,43.6
201801092100,54135.0,1.0,3.0,2.0,71.0,320.0,3.0,-16.7,-24.3,51.8,1021.3,2.0,0.8,0.0,cma,26.0,122.37,43.6
201801100000,54135.0,1.0,3.0,2.0,77.0,320.0,3.0,-18.2,-25.4,53.2,1024.2,2.0,2.6,0.0,cma,60.0,122.37,43.6
201801100300,54135.0,1.0,3.0,2.0,80.0,360.0,3.0,-15.9,-23.3,52.9,1025.5,2.0,1.4,0.0,cma,9.0,122.37,43.6
201801100600,54135.0,1.0,3.0,2.0,80.0,320.0,3.0,-14.7,-24.3,43.9,1025.9,2.0,0.4,0.0,cma,22.0,122.37,43.6
201801100900,54135.0,1.0,3.0,2.0,67.0,20.0,3.0,-15.6,-25.1,44.0,1027.6,2.0,1.6,0.0,cma,3.0,122.37,43.6
201801101200,54135.0,1.0,3.0,2.0,68.0,200.0,1.0,-17.8,-23.7,59.9,1029.8,2.0,1.9,0.0,cma,12.0,122.37,43.6
201801101500,54135.0,1.0,3.0,2.0,78.0,320.0,2.0,-18.5,-27.8,43.8,1031.1,2.0,1.4,0.0,cma,0.0,122.37,43.6
201801101800,54135.0,1.0,3.0,2.0,80.0,320.0,3.0,-20.6,-29.9,43.1,1033.0,2.0,1.8,0.0,cma,39.0,122.37,43.6
201801102100,54135.0,1.0,3.0,2.0,80.0,320.0,3.0,-21.1,-30.6,42.2,1034.0,2.0,0.9,0.0,cma,32.0,122.37,43.6
201801110000,54135.0,1.0,3.0,2.0,63.0,270.0,2.0,-22.8,-30.4,49.9,1035.7,2.0,1.5,0.0,cma,0.0,122.37,43.6
201801110300,54135.0,1.0,3.0,2.0,74.0,320.0,3.0,-17.2,-27.9,38.9,1035.4,7.0,0.1,0.0,cma,17.0,122.37,43.6
201801110600,54135.0,1.0,3.0,2.0,78.0,270.0,2.0,-14.0,-26.5,33.9,1034.1,7.0,1.2,0.0,cma,0.0,122.37,43.6
201801110900,54135.0,1.0,3.0,2.0,67.0,220.0,1.0,-15.4,-27.1,36.0,1033.9,7.0,0.3,0.0,cma,29.0,122.37,43.6
201801111200,54135.0,1.0,3.0,2.0,66.0,180.0,2.0,-17.9,-27.5,42.8,1033.3,7.0,0.8,0.0,cma,29.0,122.37,43.6
201801111500,54135.0,1.0,3.0,2.0,77.0,160.0,2.0,-19.6,-29.3,41.9,1031.0,7.0,2.0,0.0,cma,0.0,122.37,43.6
201801111800,54135.0,1.0,3.0,2.0,73.0,220.0,3.0,-19.2,-28.6,43.2,1029.6,7.0,1.2,0.0,cma,21.0,122.37,43.6
201801112100,54135.0,1.0,3.0,2.0,75.0,220.0,2.0,-18.6,-26.9,48.0,1027.7,7.0,1.9,0.0,cma,61.0,122.37,43.6
201801120000,54135.0,1.0,3.0,2.0,61.0,200.0,2.0,-17.5,-26.4,45.8,1027.2,7.0,0.6,0.0,cma,9.0,122.37,43.6
201801120300,54135.0,1.0,3.0,2.0,70.0,250.0,3.0,-9.7,-20.5,41.0,1025.8,7.0,1.0,0.0,cma,8.0,122.37,43.6
201801120600,54135.0,1.0,3.0,2.0,77.0,320.0,2.0,-4.1,-17.6,34.1,1024.2,7.0,1.3,0.0,cma,33.0,122.37,43.6
201801120900,54135.0,1.0,3.0,2.0,59.0,70.0,2.0,-6.4,-16.6,44.2,1025.8,2.0,1.4,0.0,cma,47.0,122.37,43.6
