TM,STN_ID,PM10
202001010000,146.0,12.0
202001010100,146.0,16.0
202001010200,146.0,21.0
202001010300,146.0,16.0
202001010400,146.0,14.0
202001010500,146.0,13.0
202001010600,146.0,14.0
202001010700,146.0,12.0
202001010800,146.0,14.0
202001010900,146.0,17.0
202001011000,146.0,20.0
202001011100,146.0,17.0
202001011200,146.0,13.0
202001011300,146.0,19.0
202001011400,146.0,24.0
202001011500,146.0,20.0
202001011600,146.0,21.0
202001011700,146.0,30.0
202001011800,146.0,35.0
202001011900,146.0,38.0
202001012000,146.0,41.0
202001012100,146.0,40.0
202001012200,146.0,38.0
202001012300,146.0,40.0
202001020000,146.0,30.0
202001020100,146.0,26.0
202001020200,146.0,30.0
202001020300,146.0,32.0
202001020400,146.0,33.0
202001020500,146.0,33.0
202001020600,146.0,34.0
202001020700,146.0,40.0
202001020800,146.0,35.0
202001020900,146.0,42.0
202001021000,146.0,36.0
202001021100,146.0,46.0
202001021200,146.0,58.0
202001021300,146.0,70.0
202001021400,146.0,51.0
202001021500,146.0,65.0
202001021600,146.0,65.0
202001021700,146.0,74.0
202001021800,146.0,82.0
202001021900,146.0,85.0
202001022000,146.0,89.0
202001022100,146.0,83.0
202001022200,146.0,91.0
202001022300,146.0,80.0
202001030000,146.0,77.0
202001030100,146.0,81.0
202001030200,146.0,74.0
202001030300,146.0,77.0
202001030400,146.0,74.0
202001030500,146.0,72.0
202001030600,146.0,74.0
202001030700,146.0,65.0
202001030800,146.0,74.0
202001030900,146.0,79.0
202001031000,146.0,93.0
202001031100,146.0,95.0
202001031200,146.0,71.0
202001031300,146.0,51.0
202001031400,146.0,69.0
202001031500,146.0,78.0
202001031600,146.0,83.0
202001031700,146.0,87.0
202001031800,146.0,93.0
202001031900,146.0,92.0
202001032000,146.0,82.0
202001032100,146.0,91.0
202001032200,146.0,95.0
202001032300,146.0,96.0
202001040000,146.0,89.0
202001040100,146.0,88.0
202001040200,146.0,81.0
202001040300,146.0,79.0
202001040400,146.0,80.0
202001040500,146.0,84.0
202001040600,146.0,83.0
202001040700,146.0,80.0
202001040800,146.0,72.0
202001040900,146.0,82.0
202001041000,146.0,88.0
202001041100,146.0,77.0
202001041200,146.0,70.0
202001041300,146.0,54.0
202001041400,146.0,44.0
202001041500,146.0,62.0
202001041600,146.0,70.0
202001041700,146.0,75.0
202001041800,146.0,76.0
202001041900,146.0,80.0
202001042000,146.0,92.0
202001042100,146.0,98.0
202001042200,146.0,85.0
202001042300,146.0,90.0
202001050000,146.0,86.0
202001050100,146.0,82.0
202001050200,146.0,78.0
202001050300,146.0,81.0
202001050400,146.0,80.0
202001050500,146.0,80.0
202001050600,146.0,77.0
202001050700,146.0,78.0
202001050800,146.0,62.0
202001050900,146.0,59.0
202001051000,146.0,58.0
202001051100,146.0,53.0
202001051200,146.0,58.0
202001051300,146.0,28.0
202001051400,146.0,35.0
202001051500,146.0,41.0
202001051600,146.0,37.0
202001051700,146.0,44.0
202001051800,146.0,55.0
202001051900,146.0,55.0
202001052000,146.0,58.0
202001052100,146.0,62.0
202001052200,146.0,58.0
202001052300,146.0,56.0
202001060000,146.0,54.0
202001060100,146.0,40.0
202001060200,146.0,41.0
202001060300,146.0,37.0
202001060400,146.0,28.0
202001060500,146.0,26.0
202001060600,146.0,46.0
202001060700,146.0,31.0
