TM,STN_ID,PM10
202001010000,108.0,26.0
202001010100,108.0,24.0
202001010200,108.0,23.0
202001010300,108.0,32.0
202001010400,108.0,28.0
202001010500,108.0,27.0
202001010600,108.0,28.0
202001010700,108.0,36.0
202001010800,108.0,26.0
202001010900,108.0,35.0
202001011000,108.0,36.0
202001011100,108.0,37.0
202001011200,108.0,37.0
202001011300,108.0,38.0
202001011400,108.0,43.0
202001011500,108.0,54.0
202001011600,108.0,45.0
202001011700,108.0,53.0
202001011800,108.0,42.0
202001011900,108.0,52.0
202001012000,108.0,46.0
202001012100,108.0,56.0
202001012200,108.0,58.0
202001012300,108.0,54.0
202001020000,108.0,51.0
202001020100,108.0,53.0
202001020200,108.0,50.0
202001020300,108.0,58.0
202001020400,108.0,52.0
202001020500,108.0,48.0
202001020600,108.0,51.0
202001020700,108.0,45.0
202001020800,108.0,53.0
202001020900,108.0,61.0
202001021000,108.0,58.0
202001021100,108.0,66.0
202001021200,108.0,79.0
202001021300,108.0,80.0
202001021400,108.0,70.0
202001021500,108.0,70.0
202001021600,108.0,82.0
202001021700,108.0,82.0
202001021800,108.0,88.0
202001021900,108.0,78.0
202001022000,108.0,79.0
202001022100,108.0,86.0
202001022200,108.0,84.0
202001022300,108.0,87.0
202001030000,108.0,100.0
202001030100,108.0,97.0
202001030200,108.0,84.0
202001030300,108.0,93.0
202001030400,108.0,82.0
202001030500,108.0,94.0
202001030600,108.0,102.0
202001030700,108.0,99.0
202001030800,108.0,87.0
202001030900,108.0,86.0
202001031000,108.0,78.0
202001031100,108.0,78.0
202001031200,108.0,73.0
202001031300,108.0,78.0
202001031400,108.0,60.0
202001031500,108.0,50.0
202001031600,108.0,55.0
202001031700,108.0,68.0
202001031800,108.0,73.0
202001031900,108.0,47.0
202001032000,108.0,60.0
202001032100,108.0,71.0
202001032200,108.0,70.0
202001032300,108.0,82.0
202001040000,108.0,79.0
202001040100,108.0,64.0
202001040200,108.0,61.0
202001040300,108.0,65.0
202001040400,108.0,69.0
202001040500,108.0,68.0
202001040600,108.0,70.0
202001040700,108.0,64.0
202001040800,108.0,63.0
202001040900,108.0,74.0
