TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,IX,PM10
202207280500,146.0,11.0,1.1,1003.3,1010.2,24.2,20.9,82.0,24.7,-,3.0,0.0,Ci,1815.0,24.0,3.0,2.0,29.0
202207280600,146.0,11.0,1.1,1003.5,1010.4,23.6,20.9,85.0,24.7,-,4.0,0.0,Ci,1702.0,23.9,3.0,2.0,32.0
202207280700,146.0,0.0,0.4,1003.8,1010.7,24.5,20.8,80.0,24.6,-,0.0,0.0,-,1677.0,24.8,3.0,2.0,19.0
202207280800,146.0,2.0,1.0,1003.9,1010.8,26.5,21.4,74.0,25.5,-,0.0,0.0,-,1934.0,26.9,3.0,2.0,14.0
202207280900,146.0,11.0,1.0,1003.7,1010.5,28.6,21.1,64.0,25.0,-,0.0,0.0,-,1994.0,30.3,3.0,2.0,15.0
202207281000,146.0,16.0,1.3,1003.5,1010.2,29.8,22.2,64.0,26.8,-,0.0,0.0,-,2000.0,34.5,3.0,2.0,24.0
202207281100,146.0,11.0,1.8,1003.5,1010.2,31.3,22.8,61.0,27.7,-,0.0,0.0,-,1989.0,38.6,3.0,2.0,28.0
202207281200,146.0,14.0,1.3,1003.2,1009.9,32.6,23.8,60.0,29.5,-,4.0,4.0,Sc,2000.0,40.6,3.0,2.0,28.0
202207281300,146.0,16.0,1.6,1002.7,1009.4,33.5,24.0,58.0,29.8,-,2.0,2.0,Sc,2000.0,44.3,3.0,2.0,26.0
202207281400,146.0,14.0,3.9,1002.6,1009.3,32.7,21.8,53.0,26.1,-,2.0,2.0,Sc,2000.0,45.3,3.0,2.0,12.0
202207281500,146.0,14.0,2.5,1002.6,1009.3,33.3,22.7,54.0,27.6,-,4.0,4.0,Sc,2000.0,44.0,3.0,2.0,16.0
202207281600,146.0,20.0,3.0,1002.6,1009.3,33.3,21.7,51.0,26.0,-,5.0,5.0,Sc,2000.0,44.1,3.0,2.0,
202207281700,146.0,23.0,3.4,1002.4,1009.1,33.4,21.8,51.0,26.1,-,2.0,2.0,Sc,2000.0,40.3,3.0,2.0,3.0
202207281800,146.0,20.0,3.1,1002.6,1009.3,32.7,20.9,50.0,24.7,-,2.0,2.0,Sc,2000.0,35.9,3.0,2.0,4.0
202207281900,146.0,20.0,2.1,1003.0,1009.7,31.6,20.5,52.0,24.1,-,3.0,0.0,-,2000.0,32.4,3.0,,33.0
202207282000,146.0,18.0,1.6,1003.4,1010.2,30.8,21.0,56.0,24.9,-,2.0,0.0,-,2000.0,30.4,3.0,,39.0
202207282100,146.0,7.0,0.6,1004.2,1011.0,29.0,22.2,67.0,26.8,-,2.0,0.0,Ci,1970.0,29.2,3.0,2.0,53.0
202207282200,146.0,14.0,1.0,1004.8,1011.6,28.5,22.2,69.0,26.8,-,3.0,0.0,-,2000.0,28.4,3.0,,36.0
202207282300,146.0,14.0,1.4,1005.0,1011.8,27.9,22.3,72.0,26.9,-,2.0,0.0,-,1933.0,27.7,3.0,,51.0
202207290000,146.0,11.0,1.5,1005.0,1011.8,27.6,22.5,74.0,27.2,-,2.0,0.0,Ci,1815.0,27.2,3.0,2.0,37.0
202207290100,146.0,11.0,1.4,1005.4,1012.2,27.4,22.7,76.0,27.6,-,5.0,5.0,-,1702.0,27.1,3.0,,42.0
202207290200,146.0,14.0,1.7,1005.1,1011.9,26.9,22.7,78.0,27.6,-,5.0,4.0,-,1710.0,26.8,3.0,,33.0
202207290300,146.0,11.0,1.2,1005.0,1011.9,26.7,22.7,79.0,27.6,-,2.0,2.0,Sc,1797.0,26.4,3.0,2.0,34.0
202207290400,146.0,11.0,1.1,1005.1,1012.0,26.4,22.6,80.0,27.4,-,7.0,7.0,Sc,1612.0,26.6,3.0,2.0,24.0
202207290500,146.0,0.0,0.4,1005.3,1012.2,25.9,22.3,81.0,26.9,-,4.0,2.0,ScCi,1977.0,25.9,3.0,2.0,29.0
202207290600,146.0,14.0,0.9,1005.6,1012.5,26.2,22.4,80.0,27.1,-,4.0,4.0,Ac,1710.0,26.0,3.0,2.0,26.0
202207290700,146.0,14.0,0.8,1005.6,1012.4,27.5,22.6,75.0,27.4,-,0.0,0.0,-,1768.0,26.3,3.0,2.0,17.0
202207290800,146.0,11.0,0.5,1005.6,1012.4,29.6,22.5,66.0,27.2,-,0.0,0.0,-,1939.0,27.8,3.0,2.0,2.0
202207290900,146.0,2.0,1.3,1005.7,1012.5,30.8,23.4,65.0,28.8,-,0.0,0.0,-,2000.0,31.9,3.0,2.0,12.0
202207291000,146.0,36.0,1.3,1005.5,1012.2,32.1,24.1,63.0,30.0,-,1.0,1.0,Sc,2000.0,37.3,3.0,2.0,11.0
202207291100,146.0,9.0,1.4,1005.1,1011.8,33.1,23.7,58.0,29.3,-,1.0,1.0,Sc,2000.0,40.6,3.0,2.0,2.0
202207291200,146.0,9.0,1.6,1004.9,1011.6,33.3,22.7,54.0,27.6,-,6.0,6.0,Sc,2000.0,40.1,3.0,2.0,11.0
