date, pm25, pm10, o3, no2, so2, co
2022/11/23, 61, 35, 31, 21, 3, 6
2022/11/24, 76, 38, 27, 28, 4, 5
2022/11/25, 75, 53, 36, 27, 4, 9
2022/11/26, 128, 38, 29, 16, 2, 4
2022/11/27, 81, 27, 1, 15, 3, 4
2022/11/28, 59, 21, 26, 11, 2, 5
2022/11/29, 58, 24, 22, 11, 2, 5
2022/11/30, 53, 31, 16, 16, 3, 7
2022/12/1, 71, 44, 12, 24, 4, 9
2022/12/2, 102, 36, 22, 25, 3, 8
2022/12/3, 100, 27, 25, 8, 2, 4
2022/12/4, 58, 18, 23, 12, 3, 5
2022/12/5, 52, 31, 21, 27, 4, 7
2022/12/6, 66, 48, 38, 29, 4, 5
2022/12/7, 103, 50, 26, 34, 4, 5
2022/12/8, 104, 33, 16, 30, 3, 7
2022/12/9, 87, 51, 25, 24, 3, 9
2022/12/10, 135, 43, 31, 11, 4, 6
2022/12/11, 90, 45, 24, 22, 4, 6
2022/12/12, 101, 95, 23, 30, 5, 9
2022/12/13, 151, 76, 25, 17, 4, 6
2022/12/14, 91, 53, 20, 26, 3, 5
2022/12/15, 74, 32, 25, 20, 3, 5
2022/12/16, 65, 45, 20, 11, 4, 6
2022/12/17, 88, 56, 20, 17, 3, 7
2022/12/18, 69, 51, 21, 29, 4, 8
2022/12/19, 84, 40, 29, 28, 3, 6
2022/12/20, 76, 64, 25, 23, 5, 7
2022/12/21, 120, 75, 25, 24, 4, 8
2022/12/22, 121, 33, 23, 15, 4, 8
2022/12/23, 66, 48, 26, 18, 5, 9
2022/12/24, 99, 44, 24, 17, 4, 9
2022/12/25, 99, 45, 21, 25, 5, 9
2022/12/26, 122, 65, 27, 23, 5, 9
2022/12/27, 159, 76, 31, 20, 5, 9
2022/12/28, 165, 35, 29, 16, 4, 4
2022/12/29, 89, 37, 19, 25, 5, 7
2022/12/30, 94, 68, 34, 35, 5, 8
2022/12/31, 158, 71, 18, 49, 5, 8
2022/7/1, 36, 16, 19, 3, , 2
2022/7/2, 38, 15, 23, 3, , 2
2022/7/3, 40, 17, 28, 4, , 1
2022/7/4, 39, 31, 63, 4, , 4
2022/7/5, 68, 29, 54, 5, , 4
2022/7/6, 62, 30, 63, 6, , 4
2022/7/7, 78, 35, 50, 6, , 4
2022/7/8, 81, 34, 88, 9, 1, 5
2022/7/9, 93, 43, 67, 9, 1, 5
2022/7/10, 110, 25, 71, 12, 1, 6
2022/7/11, 64, 45, 84, 12, , 5
2022/7/12, 93, 46, 83, 13, , 5
2022/7/13, 100, 43, 101, 13, , 4
2022/7/14, 99, 42, 69, 11, , 4
2022/7/15, 98, 38, 51, 16, , 6
2022/7/16, 99, 44, 71, 10, 1, 5
2022/7/17, 102, 32, 53, 9, , 5
2022/7/18, 82, 31, 41, 11, , 5
2022/7/19, 83, 34, 58, 9, , 5
2022/7/20, 81, 24, 44, 11, , 4
2022/7/21, 65, 46, 104, 11, , 6
2022/7/22, 112, 42, 49, 8, , 5
2022/7/23, 96, 42, 88, 10, 1, 8
2022/7/24, 100, 35, 69, 7, , 4
2022/7/25, 88, 37, 81, 11, , 4
2022/7/26, 77, 37, 104, 14, , 5
2022/7/27, 84, 40, 84, 12, , 6
2022/7/28, 79, 18, 14, 6, , 4
2022/7/29, 45, 19, 18, 8, , 4
2022/7/30, 55, 25, 39, 8, 1, 5
2022/7/31, 69, 32, 50, 8, , 5
2022/8/1, 78, 42, 58, 7, 1, 5
2022/8/2, 103, 19, 35, 6, 1, 4
2022/8/3, 56, 21, 47, 6, 1, 4
2022/8/4, 52, 31, 92, 8, 1, 5
2022/8/5, 64, 38, 49, 16, 1, 7
2022/8/6, 85, 25, 69, 8, 1, 4
2022/8/7, 63, 19, 53, 6, 1, 4
2022/8/8, 45, 25, 71, 7, 1, 4
2022/8/9, 53, 29, 83, 8, 1, 4
2022/8/10, 63, 39, 83, 12, 1, 5
2022/8/11, 78, 43, 74, 18, 2, 6
2022/8/12, 95, 44, 85, 11, 1, 6
2022/8/13, 94, 37, 78, 8, 1, 6
2022/8/14, 78, 31, 84, 7, 1, 5
2022/8/15, 71, 35, 70, 10, 1, 6
2022/8/16, 76, 32, 68, 11, 2, 8
2022/8/17, 73, 30, 73, 9, 1, 5
2022/8/18, 71, 27, 75, 8, 1, 5
2022/8/19, 61, 40, 70, 13, 1, 6
2022/8/20, 82, 36, 38, 10, 1, 7
2022/8/21, 81, 35, 68, 9, 1, 6
2022/8/22, 83, 38, 100, 11, 1, 7
2022/8/23, 86, 31, 31, 7, 1, 3
2022/8/24, 59, 28, 39, 9, 1, 3
2022/8/25, 56, 31, 37, 11, 1, 3
2022/8/26, 58, 25, 41, 10, 1, 4
2022/8/27, 65, 27, 39, 7, 1, 5
2022/8/28, 44, 34, 60, 9, 1, 5
2022/8/29, 62, 37, 51, 9, 1, 6
2022/8/30, 87, 17, 34, 8, 1, 6
2022/8/31, 53, 24, 54, 6, 1, 5
2022/9/1, 62, 21, 40, 5, 1, 4
2022/9/2, 49, 14, 25, 4, 1, 3
2022/9/3, 36, 17, 21, 3, 1, 3
2022/9/4, 36, 9, 41, 4, 1, 4
2022/9/5, 23, 53, 100, 12, 2, 8
2022/9/6, 111, 58, 110, 13, 2, 6
2022/9/7, 119, 37, 49, 14, 2, 4
2022/9/8, 71, 26, 45, 9, 2, 4
2022/9/9, 59, 24, 57, 7, 1, 4
2022/9/10, 62, 28, 36, 6, 2, 2
2022/9/11, 61, 23, 26, 7, 1, 3
2022/9/12, 63, 15, 26, 6, 1, 3
2022/9/13, 45, 14, 22, 6, 1, 4
2022/9/14, 45, 13, 28, 6, 1, 3
2022/9/15, 44, 40, 50, 11, 2, 4
2022/9/16, 101, 46, 56, 15, 2, 8
2022/9/17, 116, 36, 66, 8, 2, 8
2022/9/18, 78, 55, 64, 7, 2, 7
2022/9/19, 91, 40, 37, 7, 2, 5
2022/9/20, 55, 30, 31, 10, 2, 3
2022/9/21, 47, 37, 41, 13, 2, 3
2022/9/22, 58, 47, 57, 15, 2, 4
2022/9/23, 73, 27, 37, 8, 2, 4
2022/9/24, 46, 29, 41, 10, 2, 4
2022/9/25, 48, 33, 44, 14, 2, 5
2022/9/26, 68, 18, 42, 11, 2, 4
2022/9/27, 53, 25, 35, 14, 2, 5
2022/9/28, 65, 19, 40, 16, 2, 4
2022/9/29, 63, 27, 28, 12, 2, 4
2022/9/30, 59, 38, 35, 11, 2, 5
2022/4/1, 71, 27, 48, 5, 2, 4
2022/4/2, 70, 18, 47, 5, 2, 4
2022/4/3, 60, 26, 52, 6, 2, 4
2022/4/4, 71, 34, 41, 12, 4, 5
2022/4/5, 75, 51, 71, 14, 3, 4
2022/4/6, 109, 53, 93, 12, 3, 4
2022/4/7, 113, 50, 81, 11, 5, 5
2022/4/8, 96, 45, 83, 8, 5, 4
2022/4/9, 80, 44, 64, 6, 3, 1
2022/4/10, 83, 46, 89, 9, 4, 2
2022/4/11, 98, 33, 75, 10, 3, 2
2022/4/12, 84, 15, 39, 6, 2, 4
2022/4/13, 48, 9, 31, 5, 1, 2
2022/4/14, 41, 23, 65, 5, 2, 3
2022/4/15, 59, 44, 57, 6, 2, 5
2022/4/16, 103, 32, 59, 7, 2, 5
2022/4/17, 75, 29, 58, 8, 2, 4
2022/4/18, 65, 47, 87, 11, 3, 6
2022/4/19, 114, 59, 100, 10, 5, 7
2022/4/20, 126, 53, 79, 8, 3, 7
2022/4/21, 137, 46, 73, 11, 7, 8
2022/4/22, 122, 20, 38, 7, 3, 6
2022/4/23, 65, 10, 37, 5, 2, 5
2022/4/24, 38, 23, 41, 7, 2, 7
2022/4/25, 71, 19, 35, 8, 2, 6
2022/4/26, 61, 51, 47, 5, 2, 5
2022/4/27, 67, 68, 39, 6, 1, 6
2022/4/28, 76, 18, 45, 5, 2, 7
2022/4/29, 50, 23, 47, 6, 2, 7
2022/4/30, 68, 28, 53, 6, 2, 8
2022/5/1, 78, 50, 77, 10, 2, 9
2022/5/2, 120, 57, 98, 15, 3, 9
2022/5/3, 136, 47, 78, 8, 7, 8
2022/5/4, 114, 25, 58, 6, 2, 7
2022/5/5, 67, 19, 68, 5, 4, 2
2022/5/6, 66, 15, 37, 5, 2, 5
2022/5/7, 52, 21, 48, 5, 2, 5
2022/5/8, 58, 18, 45, 6, 2, 6
2022/5/9, 50, 19, 42, 5, 2, 8
2022/5/10, 57, 20, 40, 5, 2, 7
2022/5/11, 64, 19, 41, 6, 2, 8
2022/5/12, 63, 20, 45, 5, 2, 9
2022/5/13, 63, 27, 55, 6, 2, 5
2022/5/14, 70, 30, 62, 10, 2, 3
2022/5/15, 77, 43, 83, 13, 3, 2
2022/5/16, 112, 47, 96, 11, 4, 2
2022/5/17, 120, 31, 76, 10, 5, 1
2022/5/18, 92, 30, 57, 8, 2, 1
2022/5/19, 79, 25, 28, 11, 2, 1
2022/5/20, 77, 18, 50, 8, 2, 6
2022/5/21, 54, 25, 68, 7, 2, 4
2022/5/22, 79, 17, 52, 5, 2, 9
2022/5/23, 70, 12, 45, 5, 2, 3
2022/5/24, 41, 19, 45, 7, 2, 2
2022/5/25, 56, 31, 28, 17, 2, 8
2022/5/26, 83, 44, 103, 12, 3, 5
2022/5/27, 109, 19, 55, 8, 3, 4
2022/5/28, 64, 15, 35, 9, 2, 7
2022/5/29, 52, 41, 58, 14, 3, 12
2022/5/30, 108, 16, 48, 7, 2, 9
2022/5/31, 43, 42, 61, 14, 4, 8
2022/6/1, 108, 47, 51, 13, 2, 4
2022/6/2, 115, 14, 37, 6, 2, 3
2022/6/3, 41, 24, 49, 9, 2, 3
2022/6/4, 62, 19, 28, 11, 2, 4
2022/6/5, 56, 32, 90, 8, 2, 3
2022/6/6, 73, 37, 50, 8, 2, 4
2022/6/7, 81, 25, 56, 10, 2, 1
2022/6/8, 56, 37, 72, 8, 2, 1
2022/6/9, 77, 18, 41, 7, 1, 2
2022/6/10, 51, 19, 46, 4, 1, 2
2022/6/11, 56, 28, 40, 7, 2, 1
2022/6/12, 73, 13, 33, 9, , 1
2022/6/13, 34, 42, 86, 12, 2, 3
2022/6/14, 97, 56, 99, 16, 2, 4
2022/6/15, 130, 54, 96, 12, 3, 5
2022/6/16, 120, 44, 105, 9, 2, 4
2022/6/17, 113, 29, 59, 5, 1, 4
2022/6/18, 74, 44, 44, 12, , 5
2022/6/19, 98, 15, 31, 6, , 3
2022/6/20, 46, 24, 40, 6, , 3
2022/6/21, 59, 32, 47, 6, 1, 3
2022/6/22, 79, 25, 44, 5, 1, 3
2022/6/23, 59, 17, 27, 8, 1, 4
2022/6/24, 48, 27, 65, 5, 1, 3
2022/6/25, 70, 27, 56, 5, 1, 4
2022/6/26, 66, 22, 48, 2, 1, 4
2022/6/27, 48, 26, 41, 6, 1, 4
2022/6/28, 48, 25, 46, 8, , 4
2022/6/29, 59, 19, 30, 6, , 3
2022/6/30, 43, 19, 25, 4, , 4
2022/1/3, 160, 52, 39, 29, 2, 11
2022/1/4, 141, 19, 33, 13, 2, 6
2022/1/5, 57, 22, 32, 9, 2, 6
2022/1/6, 55, 33, 26, 15, 2, 6
2022/1/7, 93, 34, 24, 18, 2, 8
2022/1/8, 105, 57, 27, 20, 3, 11
2022/1/9, 149, 88, 22, 28, 3, 15
2022/1/10, 185, 54, 26, 15, 2, 11
2022/1/11, 129, 47, 24, 23, 3, 10
2022/1/12, 131, 59, , 28, 3, 11
2022/1/13, 140, 32, 20, 17, 2, 10
2022/1/14, 70, 62, 16, 32, 2, 10
2022/1/15, 156, 72, 33, 30, 2, 12
2022/1/16, 168, 37, 19, 21, 2, 9
2022/1/17, 70, 44, 33, 16, 2, 8
2022/1/18, 113, 40, 22, 23, 2, 8
2022/1/19, 106, 40, 30, 10, 2, 9
2022/1/20, 106, 22, 29, 11, 2, 9
2022/1/21, 59, 21, 17, 23, 2, 10
2022/1/22, 72, 17, 28, 16, 2, 9
2022/1/23, 60, 51, 31, 11, 2, 11
2022/1/24, 140, 71, 23, 20, 2, 10
2022/1/25, 169, 48, 30, 16, 2, 8
2022/1/26, 131, 41, 34, 11, 2, 8
2022/1/27, 112, 25, 27, 9, 2, 5
2022/1/28, 65, 25, 28, 9, 2, 6
2022/1/29, 80, 26, 29, 9, 2, 6
2022/1/30, 76, 56, 38, 18, 3, 9
2022/1/31, 141, 76, 34, 11, 3, 8
2022/2/1, 148, 30, 33, 7, 2, 5
2022/2/2, 83, 15, 31, 7, 2, 5
2022/2/3, 56, 28, 37, 12, 3, 7
2022/2/4, 83, 45, 34, 13, 3, 7
2022/2/5, 116, 22, 33, 7, 3, 5
2022/2/6, 58, 8, 32, 9, 2, 5
2022/2/7, 32, 9, 31, 10, 2, 5
2022/2/8, 33, 19, 30, 13, 2, 4
2022/2/9, 63, 29, 36, 13, 3, 6
2022/2/10, 83, 42, 70, 13, 2, 7
2022/2/11, 111, 49, 38, 17, 3, 7
2022/2/12, 116, 47, 38, 16, 2, 8
2022/2/13, 117, 47, 40, 15, 3, 8
2022/2/14, 107, 56, 30, 12, 2, 7
2022/2/15, 126, 40, 32, 12, 2, 5
2022/2/16, 93, 26, 35, 8, 1, 4
2022/2/17, 68, 21, 29, 12, 1, 4
2022/2/18, 58, 32, 30, 9, 2, 5
2022/2/19, 83, 34, 31, 10, 2, 4
2022/2/20, 72, 42, 30, 20, 3, 4
2022/2/21, 96, 59, 33, 26, 4, 5
2022/2/22, 150, 41, 38, 10, 2, 4
2022/2/23, 95, 26, 34, 16, 2, 4
2022/2/24, 67, 29, 34, 17, 2, 3
2022/2/25, 71, 52, 44, 20, 2, 5
2022/2/26, 122, 65, 39, 14, 2, 5
2022/2/27, 111, 64, 63, 18, 3, 6
2022/2/28, 128, 85, 44, 17, 2, 8
2022/3/1, 170, 76, 46, 19, 2, 6
2022/3/2, 154, 79, 57, 23, 4, 6
2022/3/3, 149, 50, 35, 22, 3, 5
2022/3/4, 113, 89, 33, 17, 2, 4
2022/3/5, 109, 40, 33, 10, 2, 3
2022/3/6, 43, 44, 34, 17, 3, 4
2022/3/7, 75, 63, 42, 28, 3, 5
2022/3/8, 117, 69, 48, 18, 3, 5
2022/3/9, 120, 69, 50, 16, 3, 5
2022/3/10, 100, 66, 42, 24, 3, 5
2022/3/11, 107, 55, 49, 16, 4, 4
2022/3/12, 91, 52, 54, 13, 3, 5
2022/3/13, 98, 66, 43, 14, 3, 6
2022/3/14, 132, 61, 44, 14, 3, 5
2022/3/15, 100, 56, 75, 21, 2, 6
2022/3/16, 103, 16, 30, 11, 1, 5
2022/3/17, 46, 29, 28, 13, 1, 6
2022/3/18, 78, 59, 30, 15, 2, 7
2022/3/19, 140, 22, 31, 11, 1, 5
2022/3/20, 61, 10, 37, 8, 1, 5
2022/3/21, 36, 28, 39, 8, 2, 4
2022/3/22, 55, 31, 43, 11, 2, 5
2022/3/23, 77, 28, 44, 12, 2, 5
2022/3/24, 57, 19, 39, 9, 1, 7
2022/3/25, 54, 37, 42, 9, 2, 8
2022/3/26, 91, 63, 42, 15, 4, 8
2022/3/27, 109, 34, 42, 6, 2, 4
2022/3/28, 55, 35, 46, 8, 2, 4
2022/3/29, 59, 38, 61, 10, 3, 5
2022/3/30, 86, 40, 40, 7, 2, 6
2022/3/31, 89, 27, 46, 4, 2, 4
2022/1/1, 64, 70, 36, 27, 4, 12
2022/1/2, 163, 64, 27, 36, 3, 13
