TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202001021700,156,2,0.9,-9,-9.0,-9,1019.9,1028.9,-9,-9.0,6.7,-3.8,47.0,4.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,951,1.0,0.44,-9,3.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001021800,156,2,1.4,-9,-9.0,-9,1019.8,1028.8,8,-0.2,5.6,-3.5,52.0,4.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,902,0.0,0.09,-9,1.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001021900,156,2,1.1,-9,-9.0,-9,1020.2,1029.3,-9,-9.0,4.6,-2.2,61.0,5.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,0,0,-9,-,-9,-9,-9,721,-9.0,-9.0,-9,0.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001022000,156,2,0.9,-9,-9.0,-9,1020.5,1029.6,-9,-9.0,3.6,-2.3,65.0,5.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,0,0,-9,-,-9,-9,-9,630,-9.0,-9.0,-9,-0.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001022100,156,2,0.7,-9,-9.0,-9,1020.7,1029.8,2,1.0,2.9,-2.0,70.0,5.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,594,-9.0,-9.0,-9,0.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001022200,156,0,0.0,-9,-9.0,-9,1021.3,1030.4,-9,-9.0,3.3,-1.6,70.0,5.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,0,0,-9,-,-9,-9,-9,575,-9.0,-9.0,-9,0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001022300,156,7,0.9,-9,-9.0,-9,1020.7,1029.8,-9,-9.0,3.2,-1.9,69.0,5.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,0,0,-9,-,-9,-9,-9,568,-9.0,-9.0,-9,0.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001030000,156,25,0.7,-9,-9.0,-9,1020.2,1029.3,8,-0.5,2.8,-1.1,75.0,5.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,7,7,11,Sc,0,0,5,503,-9.0,-9.0,-9,0.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001030100,156,25,0.6,-9,-9.0,-9,1019.5,1028.6,-9,-9.0,2.9,-0.9,76.0,5.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,8,8,10,-,-9,-9,-9,494,-9.0,-9.0,-9,0.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001030200,156,29,0.5,-9,-9.0,-9,1019.6,1028.7,-9,-9.0,2.7,-0.9,77.0,5.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,9,9,10,-,-9,-9,-9,486,-9.0,-9.0,-9,1.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001030300,156,0,0.3,-9,-9.0,-9,1019.2,1028.3,7,-1.0,2.7,-0.7,78.0,5.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,8,8,10,Sc,0,0,5,488,-9.0,-9.0,-9,1.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001030400,156,0,0.3,-9,-9.0,-9,1019.0,1028.2,-9,-9.0,2.0,-1.0,80.0,5.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,4019,6,6,11,Sc,0,0,5,478,-9.0,-9.0,-9,-0.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001030500,156,0,0.0,-9,-9.0,-9,1018.6,1027.8,-9,-9.0,1.1,-1.1,85.0,5.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,11,19,2,2,11,Sc,0,0,5,428,-9.0,-9.0,-9,0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001030600,156,27,0.8,-9,-9.0,-9,1018.9,1028.1,5,-0.2,0.5,-1.1,89.0,5.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,11,19,0,0,-9,-,-9,-9,-9,388,-9.0,-9.0,-9,-0.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001030700,156,0,0.1,-9,-9.0,-9,1019.0,1028.2,-9,-9.0,0.3,-1.0,91.0,5.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,11,19,0,0,-9,-,-9,-9,-9,363,-9.0,-9.0,-9,-0.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
